route_id,trip_id,shape_id
B82,EN_B5-Weekday-000000_B82_101,B820202
B82,EN_B5-Weekday-006500_B82_101,B820198
B82,EN_B5-Weekday-014000_B82_101,B820202
B82,EN_B5-Weekday-020500_B82_101,B820198
B82,EN_B5-Weekday-007000_B82_102,B820202
B82,EN_B5-Weekday-013500_B82_102,B820198
B82,EN_B5-Weekday-021000_B82_102,B820202
B82,EN_B5-Weekday-027500_B82_102,B820198
B82,EN_B5-Weekday-023000_B82_104,B820202
B82,EN_B5-Weekday-030000_B82_104,B820198
B82,EN_B5-Weekday-037700_B82_104,B820206
B82,EN_B5-Weekday-047200_B82_123,B820200
B82,EN_B5-Weekday-024500_B82_105,B820202
B82,EN_B5-Weekday-032000_B82_105,B820198
B82,EN_B5-Weekday-039600_B82_105,B820206
B82,EN_B5-Weekday-049900_B82_129,B820200
B82,EN_B5-Weekday-058000_B82_134,B820203
B82,EN_B5-Weekday-067600_B82_134,B820199
B82,EN_B5-Weekday-075900_B82_149,B820206
B82,EN_B5-Weekday-087400_B82_134,B820200
B82,EN_B5-Weekday-107700_B82_167,B820199
B82,EN_B5-Weekday-026000_B82_106,B820202
B82,EN_B5-Weekday-033600_B82_106,B820198
B82,EN_B5-Weekday-042700_B82_107,B820206
B82,EN_B5-Weekday-052900_B82_135,B820200
B82,EN_B5-Weekday-060000_B82_116,B820203
B82,EN_B5-Weekday-071600_B42_2,B820198
B82,EN_B5-Weekday-080000_B82_152,B820203
B82,EN_B5-Weekday-091700_B42_4,B820199
B82,EN_B5-Weekday-027500_B82_107,B820202
B82,EN_B5-Weekday-034700_B82_107,B820198
B82,EN_B5-Weekday-053600_B82_141,B820199
B82,EN_B5-Weekday-028500_B82_108,B820202
B82,EN_B5-Weekday-036700_B82_109,B820198
B82,EN_B5-Weekday-046700_B82_136,B820206
B82,EN_B5-Weekday-056400_B82_136,B820200
B82,EN_B5-Weekday-037700_B42_1,B820198
B82,EN_B5-Weekday-048400_B82_113,B820203
