shape_id,sequence_id,meters,stop_id,distance_per_id
B1000031,1,0,308452,0
B1000031,2,94.6,350129,94.6
B1000031,3,585.1,350217,490.5
B1000031,4,958.1,350158,373
B1000031,5,1404.9,303920,446.8
B1000031,6,1989.7,300788,584.8
M14D0017,1,0,401608,0
M14D0017,2,372.3,401575,372.3
M14D0017,3,652.6,401294,280.3
M14D0017,4,926.7,401577,274.1
M14D0017,5,1228.8,401578,302.1
M14D0017,6,1389,401579,160.2
M14D0017,7,1652.6,403556,263.6
M14D0017,8,1863.6,401191,211
M14D0017,9,2075.3,401192,211.7
M14D0017,10,2303.5,401193,228.2
M14D0017,11,2463.3,401194,159.8
M14D0017,12,2689,401195,225.7
M14D0017,13,2915.5,401587,226.5
M14D0017,14,3113.6,401589,198.1
M14D0017,15,3468.4,401591,354.8
M14D0017,16,3665,401594,196.6
M14D0017,17,3814.7,401595,149.7
M14D0017,18,4047.3,405260,232.6
M14D0017,19,4158.3,403808,111
M14D0017,20,4297.2,401598,138.9
M14D0017,21,4338.2,401599,41
M14D0017,22,4684.3,401600,346.1
M14D0017,23,4873.9,403557,189.6
M14D0017,24,5189.7,903088,315.8
S610056,1,0,200457,0
S610056,2,818,202846,818
S610056,3,1137.9,202845,319.9
S610056,4,1718.4,202844,580.5
S610056,5,2259.2,202842,540.8
S610056,6,2650.4,202841,391.2
S610056,7,3004.9,202840,354.5
S610056,8,3309.4,202990,304.5
S610056,9,3720.3,203133,410.9
S610056,10,3960.1,203557,239.8
S610056,11,4181.8,202697,221.7
S610056,12,4413.2,203359,231.4
S610056,13,4822.5,202699,409.3
S610056,14,4981.1,202700,158.6
S610056,15,5612.4,202937,631.3
S610056,16,6286.1,202702,673.7
S610056,17,6583.1,202703,297
S610056,18,6788.6,202704,205.5
S610056,19,7111.3,202705,322.7
S610056,20,7393,203026,281.7
S610056,21,7549.8,202707,156.8
S610056,22,7777.4,202708,227.6
S610056,23,8074.7,201476,297.3
S610056,24,8239.7,201477,165
S610056,25,8581.8,203538,342.1
S610056,26,8818.6,203406,236.8
S610056,27,9013.3,201480,194.7
S610056,28,9237.8,200534,224.5
S610056,29,9517.4,200535,279.6
S610056,30,9691.3,200536,173.9
S610056,31,9883.6,200537,192.3
S610056,32,10166.4,200538,282.8
S610056,33,10378.8,200539,212.4
S610056,34,10671.9,200540,293.1
S610056,35,10838.5,200541,166.6
S610056,36,11143.2,200542,304.7
S610056,37,11412.2,200543,269
S610056,38,11543.8,200544,131.6
S610056,39,11746.4,200545,202.6
S610056,40,12049,200546,302.6
S610056,41,12217.7,202692,168.7
S610056,42,12412.4,202615,194.7
S610056,43,12761.5,200548,349.1
S610056,44,13076.8,200549,315.3
S610056,45,13521.9,200550,445.1
S610056,46,13822.9,200551,301
S610056,47,14047.5,200552,224.6
S610056,48,14260.2,200553,212.7
S610056,49,14603.3,203972,343.1
S610056,50,14833.1,200284,229.8
S610056,51,15013.7,905002,180.6
S610056,52,15229.7,200154,216
S610056,53,15509.2,203650,279.5
S610056,54,15875.6,805020,366.4
S610057,1,0,202618,0
S610057,2,651.8,202846,651.8
S610057,3,971.7,202845,319.9
S610057,4,1552.2,202844,580.5
S610057,5,2093,202842,540.8
S610057,6,2484.2,202841,391.2
S610057,7,2838.7,202840,354.5
S610057,8,3143.2,202990,304.5
S610057,9,3554.1,203133,410.9
S610057,10,3793.9,203557,239.8
S610057,11,4015.6,202697,221.7
S610057,12,4247,203359,231.4
S610057,13,4656.3,202699,409.3
S610057,14,4814.9,202700,158.6
S610057,15,5446.2,202937,631.3
S610057,16,6119.9,202702,673.7
S610057,17,6416.9,202703,297
S610057,18,6622.4,202704,205.5
S610057,19,6945.1,202705,322.7
S610057,20,7226.8,203026,281.7
S610057,21,7383.6,202707,156.8
S610057,22,7611.2,202708,227.6
S610057,23,7908.5,201476,297.3
S610057,24,8073.5,201477,165
S610057,25,8415.6,203538,342.1
S610057,26,8652.4,203406,236.8
S610057,27,8847.1,201480,194.7
S610057,28,9071.6,200534,224.5
S610057,29,9351.2,200535,279.6
S610057,30,9525.1,200536,173.9
S610057,31,9717.4,200537,192.3
S610057,32,10000.2,200538,282.8
S610057,33,10212.6,200539,212.4
S610057,34,10505.7,200540,293.1
S610057,35,10672.3,200541,166.6
S610057,36,10977,200542,304.7
S610057,37,11246,200543,269
S610057,38,11377.6,200544,131.6
S610057,39,11580.2,200545,202.6
S610057,40,11882.8,200546,302.6
S610057,41,12051.5,202692,168.7
S610057,42,12246.2,202615,194.7
S610057,43,12595.3,200548,349.1
S610057,44,12910.6,200549,315.3
S610057,45,13355.7,200550,445.1
S610057,46,13656.7,200551,301
S610057,47,13881.3,200552,224.6
S610057,48,14094,200553,212.7
S610057,49,14437.1,203972,343.1
S610057,50,14666.9,200284,229.8
S610057,51,14847.5,905002,180.6
S610057,52,15063.5,200154,216
S610057,53,15343,203650,279.5
S610057,54,15709.4,805020,366.4
B460124,1,0,303598,0
B460124,2,85.2,303599,85.2
B460124,3,512.8,303601,427.6
B460124,4,726.3,303602,213.5
B460124,5,985.2,303603,258.9
B460124,6,1295.7,303604,310.5
B460124,7,1505.7,303605,210
B460124,8,1709.7,303606,204
B460124,9,1923.1,303607,213.4
B460124,10,2109.9,303608,186.8
B460124,11,2337.6,303609,227.7
B460124,12,2506.7,303610,169.1
B460124,13,2839.8,303612,333.1
B460124,14,3089.5,303613,249.7
B460124,15,3254.9,303614,165.4
B460124,16,3427.4,307083,172.5
B460124,17,3705.8,307086,278.4
B460124,18,3931.8,307668,226
B460126,1,0,307920,0
B460126,2,285.1,300163,285.1
B460126,3,678.3,303590,393.2
B460126,4,918.3,303591,240
B460126,5,1226.6,303592,308.3
B460126,6,1492.6,303593,266
B460126,7,1743,303594,250.4
B460126,8,1940.7,303595,197.7
B460126,9,2253.6,303596,312.9
B460126,10,2516.6,303597,263
B460126,11,2774.2,303598,257.6
B460126,12,3759.5,303603,985.3
B460126,13,4884.1,303608,1124.6
B460126,14,5614,303612,729.9
B460126,15,6201.6,307083,587.6
B460126,16,6706,307668,504.4
B460126,17,6979.6,307094,273.6
B460126,18,7924,307092,944.4
B460126,19,8534.6,303625,610.6
B460126,20,9032.3,303627,497.7
B460126,21,9560.3,303630,528
B460127,1,0,303592,0
B460127,2,266.1,303593,266.1
B460127,3,516.5,303594,250.4
B460127,4,714.2,303595,197.7
B460127,5,1027.1,303596,312.9
B460127,6,1290,303597,262.9
B460127,7,1547.7,303598,257.7
B460127,8,2532.9,303603,985.2
B460127,9,3657.5,303608,1124.6
B460127,10,4387.4,303612,729.9
B460127,11,4975.1,307083,587.7
B460127,12,5479.4,307668,504.3
B460127,13,5753.1,307094,273.7
B460127,14,6697.4,307092,944.3
B460127,15,7308.1,303625,610.7
B460127,16,7805.8,303627,497.7
B460127,17,8333.8,303630,528
B460121,1,0,303592,0
B460121,2,266.1,303593,266.1
B460121,3,516.5,303594,250.4
B460121,4,714.2,303595,197.7
B460121,5,1027.1,303596,312.9
B460121,6,1290,303597,262.9
B460121,7,1547.7,303598,257.7
B460121,8,1632.9,303599,85.2
B460121,9,2060.5,303601,427.6
B460121,10,2274,303602,213.5
B460121,11,2532.9,303603,258.9
B460121,12,2843.3,303604,310.4
B460121,13,3053.4,303605,210.1
B460121,14,3257.3,303606,203.9
B460121,15,3470.7,303607,213.4
B460121,16,3657.5,303608,186.8
B460121,17,3885.3,303609,227.8
B460121,18,4054.4,303610,169.1
B460121,19,4387.4,303612,333
B460121,20,4637.1,303613,249.7
B460121,21,4802.5,303614,165.4
B460121,22,4975.1,307083,172.6
B460121,23,5253.5,307086,278.4
B460121,24,5479.4,307668,225.9
B460121,25,5753.1,307094,273.7
B460121,26,6044.4,307093,291.3
B460121,27,6244.8,307090,200.4
B460121,28,6512.9,308066,268.1
B460121,29,6697.4,307092,184.5
B460121,30,6978.6,303624,281.2
B460121,31,7139.8,306321,161.2
B460121,32,7308.1,303625,168.3
B460121,33,7557.1,303626,249
B460121,34,7805.8,303627,248.7
B460121,35,8046.9,303628,241.1
B460121,36,8168.8,303629,121.9
B460121,37,8333.8,303630,165
B460122,1,0,307920,0
B460122,2,285.1,300163,285.1
B460122,3,678.3,303590,393.2
B460122,4,918.3,303591,240
B460122,5,1226.6,303592,308.3
B460122,6,1492.6,303593,266
B460122,7,1743,303594,250.4
B460122,8,1940.7,303595,197.7
B460122,9,2253.6,303596,312.9
B460122,10,2516.6,303597,263
B460122,11,2774.2,303598,257.6
B460122,12,2859.4,303599,85.2
B460122,13,3287,303601,427.6
B460122,14,3500.5,303602,213.5
B460122,15,3759.5,303603,259
B460122,16,4069.9,303604,310.4
B460122,17,4280,303605,210.1
B460122,18,4483.9,303606,203.9
B460122,19,4697.3,303607,213.4
B460122,20,4884.1,303608,186.8
B460122,21,5111.9,303609,227.8
B460122,22,5280.9,303610,169
B460122,23,5614,303612,333.1
B460122,24,5863.7,303613,249.7
B460122,25,6029.1,303614,165.4
B460122,26,6201.6,307083,172.5
B460122,27,6480,307086,278.4
B460122,28,6706,307668,226
B460123,1,0,303592,0
B460123,2,266.1,303593,266.1
B460123,3,516.5,303594,250.4
B460123,4,714.2,303595,197.7
B460123,5,1027.1,303596,312.9
B460123,6,1290,303597,262.9
B460123,7,1547.7,303598,257.7
B460123,8,1632.9,303599,85.2
B460123,9,2060.5,303601,427.6
B460123,10,2274,303602,213.5
B460123,11,2532.9,303603,258.9
B460123,12,2843.3,303604,310.4
B460123,13,3053.4,303605,210.1
B460123,14,3257.3,303606,203.9
B460123,15,3470.7,303607,213.4
B460123,16,3657.5,303608,186.8
B460123,17,3885.3,303609,227.8
B460123,18,4054.4,303610,169.1
B460123,19,4387.4,303612,333
B460123,20,4637.1,303613,249.7
B460123,21,4802.5,303614,165.4
B460123,22,4975.1,307083,172.6
B460123,23,5253.5,307086,278.4
B460123,24,5479.4,307668,225.9
B460128,1,0,307920,0
B460128,2,285.1,300163,285.1
B460128,3,678.3,303590,393.2
B460128,4,918.3,303591,240
B460128,5,1226.6,303592,308.3
B460128,6,1492.6,303593,266
B460128,7,1743,303594,250.4
B460128,8,1940.7,303595,197.7
B460128,9,2253.6,303596,312.9
B460128,10,2516.6,303597,263
B460128,11,2774.2,303598,257.6
B460128,12,3759.5,303603,985.3
B460128,13,4884.1,303608,1124.6
B460128,14,5614,303612,729.9
B460128,15,6201.6,307083,587.6
B460128,16,6706,307668,504.4
B460129,1,0,303598,0
B460129,2,985.2,303603,985.2
B460129,3,2109.9,303608,1124.7
B460129,4,2839.8,303612,729.9
B460129,5,3427.4,307083,587.6
B460129,6,3931.8,307668,504.4
B460129,7,4205.4,307094,273.6
B460129,8,5149.8,307092,944.4
B460129,9,5760.4,303625,610.6
B460129,10,6258.1,303627,497.7
B460129,11,6786.1,303630,528
Q010125,1,0,504472,0
Q010125,2,285.1,500002,285.1
Q010125,3,604.8,503984,319.7
Q010125,4,898.4,500004,293.6
Q010125,5,1088.4,500005,190
Q010125,6,1225.8,503571,137.4
Q010125,7,1624.8,500007,399
Q010125,8,1881.3,500008,256.5
Q010125,9,2086.9,500009,205.6
Q010125,10,2320.6,500010,233.7
Q010125,11,2506.8,500011,186.2
Q010125,12,2701.7,500012,194.9
Q010125,13,2889.9,500013,188.2
Q010125,14,3047.1,500014,157.2
Q010125,15,3252,500015,204.9
Q010125,16,3394.1,503978,142.1
Q010125,17,3550.8,500017,156.7
Q010125,18,3756.6,500018,205.8
Q010125,19,3928.1,500019,171.5
Q010125,20,4171.1,503965,243
Q010125,21,4452.7,500022,281.6
Q010125,22,4699.8,500023,247.1
Q010125,23,4934.2,500024,234.4
Q010125,24,5146.8,500025,212.6
Q010125,25,5380.5,500026,233.7
Q010125,26,5576.3,500036,195.8
Q010125,27,5810.1,500037,233.8
Q010125,28,6056.5,500038,246.4
Q010125,29,6203.4,500039,146.9
