B10149-1,"LINESTRING (-73.93975620569999 40.578198564, -73.9397561963 40.5782089943)"
B10149-10,"LINESTRING (-73.95642344620001 40.5778780916, -73.9566469527 40.5779462472, -73.9569132888 40.5780286913, -73.95764032789999 40.5782375663, -73.9578095027 40.5782678214, -73.9581334825 40.5782816639, -73.95815364329999 40.5782792009)"
B10149-11,"LINESTRING (-73.95815364329999 40.5782792009, -73.9584574948 40.5782433543, -73.9590155488 40.5781227836, -73.95963480489999 40.5779912526, -73.95975721489999 40.5779665924, -73.96057808229999 40.5777966995)"
B10149-12,"LINESTRING (-73.96057808229999 40.5777966995, -73.96057808229999 40.5777966995, -73.9614241507 40.57761583, -73.9614601554 40.5776048629, -73.96236382399999 40.5774102819, -73.96280377550001 40.5773154551)"
B10149-13,"LINESTRING (-73.96280377550001 40.5773154551, -73.9632782882 40.5772129523, -73.9641927456 40.5770183603, -73.9645722051 40.5769427216)"
B10149-14,"LINESTRING (-73.9645722051 40.5769427216, -73.9649631843 40.5768648892, -73.96509639680001 40.5768265026, -73.96583083760001 40.5766647803, -73.9659136424 40.5766455913, -73.9663262207 40.5765603497)"
B10149-15,"LINESTRING (-73.9663262207 40.5765603497, -73.96637806290001 40.5765496602, -73.967173695 40.5763852024, -73.9673033001 40.5763577914, -73.9672817002 40.57636053, -73.9673537022 40.5763468265, -73.96742498100001 40.5763399848)"
B10149-16,"LINESTRING (-73.96742498100001 40.5763399848, -73.96775329499999 40.5763085122, -73.9680016815 40.5763030921, -73.96852363069999 40.5763389186, -73.9685055891 40.576429492, -73.96804024399999 40.5784660036, -73.96797242630001 40.5787577567)"
B10149-17,"LINESTRING (-73.96797242630001 40.5787577567, -73.96773000829999 40.5798026332, -73.9676340428 40.5802291477)"
B10149-18,"LINESTRING (-73.9676340428 40.5802291477, -73.9676181688 40.5802994101, -73.96758930899999 40.5804229178, -73.9673540993 40.581426349)"
B10149-19,"LINESTRING (-73.9673540993 40.581426349, -73.9673295675 40.5815317422, -73.96709145040001 40.5825746971, -73.96697254520001 40.5827805227, -73.96684266310001 40.5833404238, -73.9667633015 40.58365879719999, -73.9667020399 40.5837768057, -73.9666803895 40.5838756121, -73.96662987329999 40.5841034155, -73.9665865708 40.5843037731, -73.96653243029999 40.5845782369, -73.9663952784 40.5852616511, -73.9663429634 40.5854825919)"
B10149-2,"LINESTRING (-73.9397561963 40.5782089943, -73.939756148 40.5782625178, -73.93981364210001 40.5783778295, -73.94075689989999 40.5782767622, -73.941667756 40.5781756708, -73.94260381079999 40.5780718399, -73.943019994 40.5780259345)"
B10149-20,"LINESTRING (-73.9663429634 40.5854825919, -73.9662942567 40.5856870649, -73.96633015419999 40.5858956799, -73.9661497478 40.5866696593, -73.96564096100001 40.5888873029, -73.96546774789999 40.5896448144, -73.96546414460001 40.5896503029, -73.9653017591 40.5903501766, -73.965301752 40.5903639006, -73.96512853839999 40.5911076875, -73.9657878396 40.5910337762)"
B10149-21,"LINESTRING (-73.9657878396 40.5910337762, -73.9665184344 40.5909516476, -73.9674438266 40.5908503561, -73.96787591499999 40.5908038162, -73.96837281649999 40.5907490581, -73.9687714172 40.5907055249)"
B10149-22,"LINESTRING (-73.9687714172 40.5907055249, -73.96930180359999 40.5906477527, -73.9702235905 40.5905382035, -73.9706203872 40.5904974082)"
B10149-23,"LINESTRING (-73.9706203872 40.5904974082, -73.97115256949999 40.5904423726, -73.97207794880001 40.590338299, -73.97259392689999 40.590281606)"
B10149-24,"LINESTRING (-73.97259392689999 40.590281606, -73.9729745188 40.5902397008, -73.97398990470001 40.5901367308)"
B10149-25,"LINESTRING (-73.97398990470001 40.5901367308, -73.9740007067 40.5901356354, -73.9740799222 40.5901246741, -73.9741951428 40.5901137208, -73.9742923407 40.5901549145, -73.9744363391 40.5902125874, -73.97513467970001 40.5906409285, -73.97583663180001 40.5910637766, -73.97617933479999 40.5912611989)"
B10149-26,"LINESTRING (-73.97617933479999 40.5912611989, -73.97651340020001 40.5914536778, -73.9772225558 40.5919204355, -73.9777229514 40.5921867786, -73.97803650039999 40.5923850131)"
B10149-27,"LINESTRING (-73.97803650039999 40.5923850131, -73.9782917328 40.5925464555, -73.9784753301 40.5926562818, -73.9787741288 40.5928292594, -73.9798865283 40.5935046788, -73.98030845540001 40.5937561749)"
B10149-28,"LINESTRING (-73.98030845540001 40.5937561749, -73.9807109451 40.5939961382, -73.9809377505 40.5941361605, -73.98197819169999 40.5947621413, -73.9824483756 40.5950493194)"
B10149-29,"LINESTRING (-73.9824483756 40.5950493194, -73.9830474518 40.5954155648, -73.9834784032 40.5956739126)"
B10149-3,"LINESTRING (-73.943019994 40.5780259345, -73.9435470623 40.5779680049, -73.94446510749999 40.5778696397, -73.94464079630001 40.5778502364)"
B10149-30,"LINESTRING (-73.9834784032 40.5956739126, -73.98372070229999 40.5958191467, -73.984127536 40.596066235, -73.9849412124 40.59656040719999, -73.98515543640001 40.5966820294)"
B10149-31,"LINESTRING (-73.98515543640001 40.5966820294, -73.98526524899999 40.5967443504, -73.985747702 40.5970408488, -73.98645698760001 40.5974773566, -73.9870762706 40.59785456239999)"
B10149-32,"LINESTRING (-73.9870762706 40.59785456239999, -73.9871914868 40.597924842, -73.9879403998 40.5983723242, -73.9886569172 40.5988005848, -73.9892661427 40.599174484)"
B10149-33,"LINESTRING (-73.9892661427 40.599174484, -73.9893950459 40.599253546, -73.99015119010001 40.5997037591, -73.9908641346 40.6001347504, -73.9914550212 40.6004924422)"
B10149-34,"LINESTRING (-73.9914550212 40.6004924422, -73.9915986929 40.6005794627, -73.9923368609 40.6010351497, -73.9930498329 40.6014743617, -73.9936619874 40.601857021)"
B10149-35,"LINESTRING (-73.9936619874 40.601857021, -73.9938096257 40.601949254, -73.99458383439999 40.6024213972, -73.9953184454 40.6028276586, -73.9959407091 40.6032048165)"
B10149-36,"LINESTRING (-73.9959407091 40.6032048165, -73.9960566641 40.6032750872, -73.9967984937 40.6037280008, -73.9975115239 40.6041616954, -73.99812877079999 40.60453390070001)"
B10149-37,"LINESTRING (-73.99812877079999 40.60453390070001, -73.9982533734 40.6046091099, -73.9989952328 40.6050565197, -73.9997190956 40.6054819663, -74.00033960819999 40.6058626685)"
B10149-38,"LINESTRING (-74.00033960819999 40.6058626685, -74.00045737319999 40.6059348561, -74.0009341977 40.6062214093)"
B10149-39,"LINESTRING (-74.0009341977 40.6062214093, -74.00120646489999 40.6063849963, -74.0014225509 40.6065139989, -74.001624232 40.606634767, -74.001926755 40.6068214081, -74.00264345319999 40.6072578154, -74.00297803540001 40.6074573535)"
B10149-4,"LINESTRING (-73.94464079630001 40.5778502364, -73.94538315210001 40.5777685222, -73.9462011097 40.5776783298)"
B10149-40,"LINESTRING (-74.00297803540001 40.6074573535, -74.00340337899999 40.6077106858, -74.0041128932 40.6081443393, -74.00485483140001 40.6085944559, -74.0051926686 40.608798928)"
B10149-41,"LINESTRING (-74.0051926686 40.608798928, -74.0056796189 40.6090939698, -74.0064900113 40.6095797546, -74.0073112214 40.6100765121, -74.00765231539999 40.6102831726)"
B10149-42,"LINESTRING (-74.00765231539999 40.6102831726, -74.00804960069999 40.6105238634, -74.0087663778 40.6109547429, -74.00951198029999 40.6114048289, -74.0098981128 40.6116389268)"
B10149-43,"LINESTRING (-74.0098981128 40.6116389268, -74.01025038899999 40.611852166, -74.01097079680001 40.6122857761, -74.01171282670001 40.6127331034, -74.0121422 40.6129916179)"
B10149-44,"LINESTRING (-74.0121422 40.6129916179, -74.0138002891 40.6139894358)"
B10149-45,"LINESTRING (-74.0138002891 40.6139894358, -74.0139245667 40.6140640791, -74.0161183829 40.6153840354, -74.01645881100001 40.6155909441)"
B10149-46,"LINESTRING (-74.01645881100001 40.6155909441, -74.0183158923 40.6167204177, -74.0186516505 40.616924027)"
B10149-47,"LINESTRING (-74.0186516505 40.616924027, -74.0198361873 40.617642414, -74.0205242958 40.618056756, -74.02121601479999 40.6184710932, -74.021614837 40.6187067961)"
B10149-48,"LINESTRING (-74.021614837 40.6187067961, -74.0220050154 40.6189375587, -74.0227976356 40.6194232315, -74.0228480742 40.6194506693, -74.0229345433 40.6195055478, -74.0236551239 40.6199610364, -74.024465775 40.6204357147, -74.0248466072 40.6206650972)"
B10149-49,"LINESTRING (-74.0248466072 40.6206650972, -74.0253629147 40.6209762432, -74.02621323060001 40.6214920723, -74.02621323060001 40.6214920723)"
B10149-5,"LINESTRING (-73.9462011097 40.5776783298, -73.946301194 40.5776673975, -73.9472732349 40.5775608006, -73.9482452749 40.5774514507, -73.94916690789999 40.5773503046, -73.9495442007 40.57730875)"
B10149-50,"LINESTRING (-74.02621323060001 40.6214920723, -74.0267713122 40.6208441741, -74.02838729930001 40.6218192834)"
B10149-6,"LINESTRING (-73.9495442007 40.57730875, -73.95008493829999 40.5772491496, -73.95100656779999 40.577145244, -73.95138025830001 40.5771039563)"
B10149-7,"LINESTRING (-73.95138025830001 40.5771039563, -73.95192459260001 40.5770440743, -73.95271661069999 40.5769582164)"
B10149-8,"LINESTRING (-73.95271661069999 40.5769582164, -73.9527562116 40.576953841, -73.9528750554 40.576882525, -73.9535050656 40.5768169066, -73.95362749479999 40.57676480489999, -73.953832698 40.5767429291, -73.95394747109999 40.5773523204, -73.9542102807 40.5773194879, -73.9543758481 40.5773552361, -73.95439744789999 40.5773538723)"
B10149-9,"LINESTRING (-73.95439744789999 40.5773538723, -73.95456664609999 40.5773443325, -73.9546962304 40.5773581077, -73.9548329995 40.5773938439, -73.9552145072 40.5775037852, -73.9557867621 40.5776824188, -73.95605309600001 40.5777648649, -73.95642344620001 40.5778780916)"
B10152-1,"LINESTRING (-74.02852061590001 40.6218996726, -74.0286809565 40.6219965237, -74.0286413696 40.6220843667, -74.0283534905 40.622789848, -74.0282562001 40.6227212523, -74.02793912060001 40.62253056719999)"
B10152-10,"LINESTRING (-74.0118428631 40.6128113166, -74.01171282670001 40.6127331034, -74.01097079680001 40.6122857761, -74.01025038899999 40.611852166, -74.00951198029999 40.6114048289, -74.00914746229999 40.6111847265)"
B10152-11,"LINESTRING (-74.00914746229999 40.6111847265, -74.0087663778 40.6109547429, -74.00804960069999 40.6105238634, -74.00744665020001 40.6101585726)"
B10152-12,"LINESTRING (-74.00744665020001 40.6101585726, -74.0073112214 40.6100765121, -74.0064900113 40.6095797546, -74.0056796189 40.6090939698, -74.00485483140001 40.6085944559, -74.0045303222 40.6083976677)"
B10152-13,"LINESTRING (-74.0045303222 40.6083976677, -74.0041128932 40.6081443393, -74.00340337899999 40.6077106858, -74.00264345319999 40.6072578154, -74.00231067359999 40.6070549826)"
B10152-14,"LINESTRING (-74.00231067359999 40.6070549826, -74.001926755 40.6068214081, -74.001624232 40.606634767, -74.0014225509 40.6065139989, -74.00120646489999 40.6063849963, -74.0005675754 40.606001005)"
B10152-15,"LINESTRING (-74.0005675754 40.606001005, -74.00045737319999 40.6059348561, -73.9997190956 40.6054819663, -73.9989952328 40.6050565197, -73.99832107669999 40.6046500083)"
B10152-16,"LINESTRING (-73.99832107669999 40.6046500083, -73.9982533734 40.6046091099, -73.9975115239 40.6041616954, -73.9967984937 40.6037280008, -73.9962021483 40.6033640234)"
B10152-17,"LINESTRING (-73.9962021483 40.6033640234, -73.9960566641 40.6032750872, -73.9953184454 40.6028276586, -73.99458383439999 40.6024213972, -73.9939475421 40.6020335265)"
B10152-18,"LINESTRING (-73.9939475421 40.6020335265, -73.9938096257 40.601949254, -73.9930498329 40.6014743617, -73.9923368609 40.6010351497, -73.9917106778 40.6006486396)"
B10152-19,"LINESTRING (-73.9917106778 40.6006486396, -73.9915986929 40.6005794627, -73.9908641346 40.6001347504, -73.99015119010001 40.5997037591, -73.9895430333 40.5993416673)"
B10152-2,"LINESTRING (-74.02793912060001 40.62253056719999, -74.02621323060001 40.6214920723, -74.0260240703 40.6213773832)"
B10152-20,"LINESTRING (-73.9895430333 40.5993416673, -73.9893950459 40.599253546, -73.9886569172 40.5988005848, -73.9879403998 40.5983723242, -73.987296262 40.5979874349)"
B10152-21,"LINESTRING (-73.987296262 40.5979874349, -73.9871914868 40.597924842, -73.98645698760001 40.5974773566, -73.985747702 40.5970408488, -73.98556840180001 40.5969304858)"
B10152-22,"LINESTRING (-73.98556840180001 40.5969304858, -73.98526524899999 40.5967443504, -73.9849412124 40.59656040719999, -73.984127536 40.596066235, -73.98372070229999 40.5958191467, -73.9834135982 40.5956352017)"
B10152-23,"LINESTRING (-73.9834135982 40.5956352017, -73.9830474518 40.5954155648, -73.98197819169999 40.5947621413, -73.9809377505 40.5941361605, -73.9807109451 40.5939961382, -73.98035957649999 40.5937866509)"
B10152-24,"LINESTRING (-73.98035957649999 40.5937866509, -73.9798865283 40.5935046788, -73.97881624840001 40.5928547938)"
B10152-25,"LINESTRING (-73.97881624840001 40.5928547938, -73.9787741288 40.5928292594, -73.9784753301 40.5926562818, -73.9782917328 40.5925464555, -73.9777229514 40.5921867786, -73.9772225558 40.5919204355, -73.9769716504 40.5917551489)"
B10152-26,"LINESTRING (-73.9769716504 40.5917551489, -73.97651340020001 40.5914536778, -73.97583663180001 40.5910637766, -73.97513467970001 40.5906409285, -73.9744363391 40.5902125874, -73.9742923407 40.5901549145, -73.9741951428 40.5901137208, -73.9740799222 40.5901246741, -73.9740007067 40.5901356354, -73.97373965920001 40.5901622005)"
B10152-27,"LINESTRING (-73.97373965920001 40.5901622005, -73.9729745188 40.5902397008, -73.97207794880001 40.590338299, -73.97115256949999 40.5904423726, -73.9708202258 40.5904765987)"
B10152-28,"LINESTRING (-73.9708202258 40.5904765987, -73.9702235905 40.5905382035, -73.96930180359999 40.5906477527, -73.968899603 40.5906915612)"
B10152-29,"LINESTRING (-73.968899603 40.5906915612, -73.96837281649999 40.5907490581, -73.96787591499999 40.5908038162, -73.9674438266 40.5908503561, -73.9671201197 40.5908856718)"
B10152-3,"LINESTRING (-74.0260240703 40.6213773832, -74.0253629147 40.6209762432, -74.024465775 40.6204357147, -74.0241090871 40.6202269119)"
B10152-30,"LINESTRING (-73.9671201197 40.5908856718, -73.9665184344 40.5909516476, -73.965559911 40.5910592347)"
B10152-31,"LINESTRING (-73.965559911 40.5910592347, -73.96512853839999 40.5911076875, -73.965301752 40.5903639006, -73.9653017591 40.5903501766, -73.96546414460001 40.5896503029, -73.96546774789999 40.5896448144, -73.96564096100001 40.5888873029, -73.96581416869999 40.5881325359, -73.9659765434 40.5874326613, -73.9661497478 40.5866696593, -73.96633015419999 40.5858956799, -73.96644184020001 40.585742004, -73.9665211027 40.5856294905, -73.9665931437 40.5855581468, -73.9667408393 40.5853880123, -73.966802176 40.5851217848, -73.9668202468 40.5849818054, -73.96683114939999 40.5847764978)"
B10152-32,"LINESTRING (-73.96683114939999 40.5847764978, -73.96684205390001 40.5845673475, -73.9668205863 40.5842983513, -73.96686028649999 40.5841007374, -73.96686029060001 40.584092503, -73.9669036058 40.5838646974, -73.9669469043 40.5836698294, -73.966925359 40.5835572865, -73.966975859 40.5833596757, -73.96711297 40.582739391, -73.96709145040001 40.5825746971, -73.96731297149999 40.58160474909999)"
B10152-33,"LINESTRING (-73.96731297149999 40.58160474909999, -73.9673295675 40.5815317422, -73.9675727148 40.5804934544)"
B10152-34,"LINESTRING (-73.9675727148 40.5804934544, -73.96758930899999 40.5804229178, -73.9676181688 40.5802994101, -73.96773000829999 40.5798026332, -73.96804024399999 40.5784660036, -73.96811563899999 40.5781360998)"
B10152-35,"LINESTRING (-73.96811563899999 40.5781360998, -73.9685055891 40.576429492, -73.96852363069999 40.5763389186, -73.9680016815 40.5763030921, -73.96775329499999 40.5763085122, -73.9676247774 40.5763208277)"
B10152-36,"LINESTRING (-73.9676247774 40.5763208277, -73.9673537022 40.5763468265, -73.9672817002 40.57636053, -73.9673033001 40.5763577914, -73.967173695 40.5763852024, -73.96637806290001 40.5765496602, -73.9659136424 40.5766455913, -73.96583083760001 40.5766647803, -73.9654826986 40.5767415305)"
B10152-37,"LINESTRING (-73.9654826986 40.5767415305, -73.96509639680001 40.5768265026, -73.9649631843 40.5768648892, -73.9641927456 40.5770183603, -73.9638136425 40.5770989386)"
B10152-38,"LINESTRING (-73.9638136425 40.5770989386, -73.9632782882 40.5772129523, -73.96236382399999 40.5774102819, -73.9615706841 40.5775810202)"
B10152-39,"LINESTRING (-73.9615706841 40.5775810202, -73.9614601554 40.5776048629, -73.9614241507 40.57761583, -73.96057808229999 40.5777966995, -73.9598652241 40.57794412280001)"
B10152-4,"LINESTRING (-74.0241090871 40.6202269119, -74.0236551239 40.6199610364, -74.0229345433 40.6195055478, -74.0228480742 40.6194506693, -74.0227976356 40.6194232315, -74.0227003589 40.6193636888)"
B10152-40,"LINESTRING (-73.9598652241 40.57794412280001, -73.95975721489999 40.5779665924, -73.95963480489999 40.5779912526, -73.9590155488 40.5781227836, -73.9584574948 40.5782433543, -73.9581334825 40.5782816639, -73.9578095027 40.5782678214, -73.9576838814 40.5782452678)"
B10152-41,"LINESTRING (-73.9576838814 40.5782452678, -73.95764032789999 40.5782375663, -73.9569132888 40.5780286913, -73.9566469527 40.5779462472, -73.95605309600001 40.5777648649, -73.9557867621 40.5776824188, -73.95532787819999 40.5775392373)"
B10152-42,"LINESTRING (-73.95532787819999 40.5775392373, -73.9552145072 40.5775037852, -73.9548329995 40.5773938439, -73.9546962304 40.5773581077, -73.95456664609999 40.5773443325, -73.9543758481 40.5773552361, -73.9542102807 40.5773194879, -73.95410695699999 40.5773323472)"
B10152-43,"LINESTRING (-73.95410695699999 40.5773323472, -73.95394747109999 40.5773523204, -73.953832698 40.5767429291, -73.95362749479999 40.57676480489999, -73.9535050656 40.5768169066, -73.95307089880001 40.5768620192)"
B10152-44,"LINESTRING (-73.95307089880001 40.5768620192, -73.9528750554 40.576882525, -73.9527310907 40.5768440387, -73.95190307279999 40.5769342734, -73.95098504950001 40.5770354429, -73.9505458376 40.5770835631)"
B10152-45,"LINESTRING (-73.9505458376 40.5770835631, -73.9500634236 40.5771366035, -73.9491453947 40.5772377584, -73.9488145445 40.5772730193)"
B10152-46,"LINESTRING (-73.9488145445 40.5772730193, -73.9482237653 40.5773361594, -73.94740149489999 40.5774263643)"
B10152-47,"LINESTRING (-73.94740149489999 40.5774263643, -73.9472517292 40.5774427644, -73.9462796899 40.5775493611, -73.9453652494 40.5776504874, -73.9444436065 40.5777516029, -73.944007985 40.5777996999)"
B10152-48,"LINESTRING (-73.944007985 40.5777996999, -73.9435255607 40.5778527128, -73.94257871319999 40.577953801, -73.9416462599 40.5780576335, -73.9412426761 40.5781024425)"
B10152-49,"LINESTRING (-73.9412426761 40.5781024425, -73.94073540540001 40.5781587248, -73.94046179109999 40.5781860313, -73.9402998536 40.5781228169, -73.94018827010001 40.5781090349, -73.9399693753 40.5781347218)"
B10152-5,"LINESTRING (-74.0227003589 40.6193636888, -74.0220050154 40.6189375587, -74.02121601479999 40.6184710932, -74.0208388108 40.6182452663)"
B10152-50,"LINESTRING (-73.9399693753 40.5781347218, -73.93994597370001 40.5781374544)"
B10152-6,"LINESTRING (-74.0208388108 40.6182452663, -74.0205242958 40.618056756, -74.0198361873 40.617642414, -74.0183158923 40.6167204177, -74.0180683979 40.6165697681)"
B10152-7,"LINESTRING (-74.0180683979 40.6165697681, -74.01624230569999 40.6154594996)"
B10152-8,"LINESTRING (-74.01624230569999 40.6154594996, -74.0161183829 40.6153840354, -74.0139245667 40.6140640791, -74.0135996444 40.61386868909999)"
B10152-9,"LINESTRING (-74.0135996444 40.61386868909999, -74.0118428631 40.6128113166)"
B10153-1,"LINESTRING (-73.98556840180001 40.5969304858, -73.98526524899999 40.5967443504, -73.9849412124 40.59656040719999, -73.984127536 40.596066235, -73.98372070229999 40.5958191467, -73.9834135982 40.5956352017)"
B10153-10,"LINESTRING (-73.965559911 40.5910592347, -73.96512853839999 40.5911076875, -73.965301752 40.5903639006, -73.9653017591 40.5903501766, -73.96546414460001 40.5896503029, -73.96546774789999 40.5896448144, -73.96564096100001 40.5888873029, -73.96581416869999 40.5881325359, -73.9659765434 40.5874326613, -73.9661497478 40.5866696593, -73.96633015419999 40.5858956799, -73.96644184020001 40.585742004, -73.9665211027 40.5856294905, -73.9665931437 40.5855581468, -73.9667408393 40.5853880123, -73.966802176 40.5851217848, -73.9668202468 40.5849818054, -73.96683114939999 40.5847764978)"
B10153-11,"LINESTRING (-73.96683114939999 40.5847764978, -73.96684205390001 40.5845673475, -73.9668205863 40.5842983513, -73.96686028649999 40.5841007374, -73.96686029060001 40.584092503, -73.9669036058 40.5838646974, -73.9669469043 40.5836698294, -73.966925359 40.5835572865, -73.966975859 40.5833596757, -73.96711297 40.582739391, -73.96709145040001 40.5825746971, -73.96731297149999 40.58160474909999)"
B10153-12,"LINESTRING (-73.96731297149999 40.58160474909999, -73.9673295675 40.5815317422, -73.9675727148 40.5804934544)"
B10153-13,"LINESTRING (-73.9675727148 40.5804934544, -73.96758930899999 40.5804229178, -73.9676181688 40.5802994101, -73.96773000829999 40.5798026332, -73.96804024399999 40.5784660036, -73.96811563899999 40.5781360998)"
B10153-14,"LINESTRING (-73.96811563899999 40.5781360998, -73.9685055891 40.576429492, -73.96852363069999 40.5763389186, -73.9680016815 40.5763030921, -73.96775329499999 40.5763085122, -73.9676247774 40.5763208277)"
B10153-15,"LINESTRING (-73.9676247774 40.5763208277, -73.9673537022 40.5763468265, -73.9672817002 40.57636053, -73.9673033001 40.5763577914, -73.967173695 40.5763852024, -73.96637806290001 40.5765496602, -73.9659136424 40.5766455913, -73.96583083760001 40.5766647803, -73.9654826986 40.5767415305)"
B10153-16,"LINESTRING (-73.9654826986 40.5767415305, -73.96509639680001 40.5768265026, -73.9649631843 40.5768648892, -73.9641927456 40.5770183603, -73.9638136425 40.5770989386)"
B10153-17,"LINESTRING (-73.9638136425 40.5770989386, -73.9632782882 40.5772129523, -73.96236382399999 40.5774102819, -73.9615706841 40.5775810202)"
B10153-18,"LINESTRING (-73.9615706841 40.5775810202, -73.9614601554 40.5776048629, -73.9614241507 40.57761583, -73.96057808229999 40.5777966995, -73.9598652241 40.57794412280001)"
