service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BS_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
BS_C4-Sunday-BM,0,0,0,0,0,1,0,20140628,20140823
BS_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
BS_C4-Weekday-BM,1,1,1,1,0,0,1,20140629,20140828
BS_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
BS_C4-Saturday-BM,0,0,0,0,1,0,0,20140703,20140829
EN_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
EN_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
EN_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
FB_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
FB_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
FB_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
FP_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
FP_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
FP_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
GA_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
GA_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
GA_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
GA_C4-Saturday-BM,0,0,0,0,1,0,0,20140703,20140829
JG_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
JG_C4-Sunday-BM,0,0,0,0,0,1,0,20140628,20140823
JG_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
JG_C4-Weekday-BM,1,1,1,1,0,0,1,20140629,20140828
JG_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
JG_C4-Saturday-BM,0,0,0,0,1,0,0,20140703,20140829
UP_C4-Sunday,0,0,0,0,0,0,1,20140629,20140824
UP_C4-Weekday,1,1,1,1,1,0,0,20140630,20140829
UP_C4-Saturday,0,0,0,0,0,1,0,20140704,20140830
