shape_id,meters
B10149-1,1.158214693
B10149-10,154.4182676
B10149-11,212.3106854
B10149-12,195.8999968
B10149-13,155.3549606
B10149-14,154.5206954
B10149-15,99.95538498
B10149-16,366.0616799
B10149-17,165.8860426
B10149-18,135.0412169
B10149-19,459.4947108
B10149-2,293.9226286
B10149-20,690.5532867
B10149-21,255.1885266
B10149-22,158.2253719
B10149-23,168.7805479
B10149-24,119.266812
B10149-25,228.7283059
B10149-26,200.9068557
B10149-27,245.3157179
B10149-28,231.1602561
B10149-29,111.4129183
B10149-3,138.6142438
B10149-30,180.7975686
B10149-31,208.3082106
B10149-32,236.3125625
B10149-33,236.1069846
B10149-34,240.5345955
B10149-35,244.1887117
B10149-36,236.8099603
B10149-37,238.3039271
B10149-38,64.18275774
B10149-39,220.8156024
B10149-4,133.484067
B10149-40,239.4262021
B10149-41,265.5121928
B10149-42,242.4624943
B10149-43,242.1348781
B10149-44,178.7910737
B10149-45,286.7763354
B10149-46,237.3764237
B10149-47,319.4788392
B10149-48,349.4312637
B10149-49,147.6658297
B10149-5,286.0217514
B10149-50,260.4798334
B10149-6,157.1157971
B10149-7,114.3020229
B10149-8,206.7674956
B10149-9,182.6967036
B10152-1,155.0626765
B10152-10,290.9598598
B10152-11,183.5838006
B10152-12,314.8848782
B10152-13,239.8375707
B10152-14,188.3158126
B10152-15,242.2026474
B10152-16,229.2518375
B10152-17,241.3930126
B10152-18,243.9194766
B10152-19,233.9402861
B10152-2,206.5335731
B10152-20,242.4544279
B10152-21,187.5279965
B10152-22,232.3050047
B10152-23,330.1105162
B10152-24,166.6624414
B10152-25,198.3649413
B10152-26,336.7892496
B10152-27,249.601026
B10152-28,164.3386358
B10152-29,152.1742392
B10152-3,206.3477762
B10152-30,133.4763423
B10152-31,759.4095006
B10152-32,356.3412939
B10152-33,125.3501635
B10152-34,265.7815697
B10152-35,278.9210328
B10152-36,191.212064
B10152-37,146.8473826
B10152-38,197.3143843
B10152-39,149.9464536
B10152-4,152.9948745
B10152-40,189.9020178
B10152-41,214.3923534
B10152-42,107.8620091
B10152-43,148.5670379
B10152-44,216.5855324
B10152-45,148.0933151
B10152-46,120.8499729
B10152-47,290.3049753
B10152-48,236.5410146
B10152-49,110.4938978
B10152-5,200.5998763
B10152-50,2.005170483
B10152-6,299.2940228
B10152-7,197.6854408
B10152-8,284.9881171
B10152-9,189.4440073
B10153-1,232.3050047
B10153-10,759.4095006
B10153-11,356.3412939
B10153-12,125.3501635
B10153-13,265.7815697
B10153-14,278.9210328
B10153-15,191.212064
B10153-16,146.8473826
B10153-17,197.3143843
B10153-18,149.9464536
B10153-19,189.9020178
B10153-2,330.1105162
B10153-20,214.3923534
B10153-21,107.8620091
B10153-22,148.5670379
B10153-23,216.5855324
B10153-24,148.0933151
B10153-25,120.8499729
B10153-26,290.3049753
B10153-27,236.5410146
B10153-28,110.4938978
B10153-29,2.005170483
B10153-3,166.6624414
B10153-4,198.3649413
B10153-5,336.7892496
B10153-6,249.601026
B10153-7,164.3386358
B10153-8,152.1742392
B10153-9,133.4763423
B110025-1,375.6013715
B110025-10,201.4799896
B110025-11,316.5846523
B110025-12,325.8344357
B110025-13,158.4848392
B110025-14,171.145955
B110025-15,141.5137458
B110025-16,252.3923036
B110025-17,127.6344947
B110025-18,324.4483398
B110025-19,330.3916856
B110025-2,170.4748248
B110025-20,161.9175607
B110025-21,221.00501
B110025-22,260.7835916
B110025-23,243.2624244
B110025-24,237.9356836
B110025-25,243.8677876
B110025-26,228.4838098
B110025-27,236.4957411
B110025-28,245.8890691
B110025-29,237.3158742
B110025-3,187.8154568
B110025-30,234.9170354
B110025-31,235.5843514
B110025-32,230.6751951
B110025-33,247.3705171
B110025-34,191.1327332
B110025-35,380.599667
B110025-36,157.9494411
B110025-37,221.6805471
B110025-38,183.5920214
B110025-39,210.1358218
B110025-4,124.9279197
B110025-40,194.9496449
B110025-41,250.6596191
B110025-42,200.4770598
B110025-5,408.0022325
B110025-6,221.5181019
B110025-7,207.3921368
B110025-8,227.5276445
B110025-9,202.6040037
B110026-1,363.0033305
B110026-10,236.9109631
B110026-11,237.2752821
B110026-12,101.5783367
B110026-13,137.1330952
B110026-14,250.6286903
B110026-15,235.1703462
B110026-16,222.9930558
B110026-17,243.9650648
B110026-18,235.6704855
B110026-19,267.6527213
B110026-2,314.7615197
B110026-20,222.5796456
B110026-21,250.4302647
B110026-22,184.5206709
B110026-23,187.576658
B110026-24,172.9861767
B110026-25,205.865104
B110026-26,185.4158137
B110026-27,169.7399618
B110026-28,182.1384239
B110026-29,282.9609907
B110026-3,271.1704155
B110026-30,328.3612469
B110026-31,207.1689736
B110026-32,168.2151266
B110026-33,181.843591
B110026-34,241.8001628
B110026-35,249.9328072
B110026-36,415.8693337
B110026-37,119.4666629
B110026-38,304.6408537
B110026-39,346.5715793
B110026-4,141.0642159
B110026-40,168.0024934
B110026-5,223.8164703
B110026-6,237.7198987
B110026-7,238.244858
B110026-8,239.0573918
B110026-9,235.3647351
B110027-1,238.244858
B110027-10,222.9930558
B110027-11,243.9650648
B110027-12,235.6704855
B110027-13,267.6527213
B110027-14,222.5796456
B110027-15,250.4302647
B110027-16,184.5206709
B110027-17,187.576658
B110027-18,172.9861767
B110027-19,205.865104
B110027-2,239.0573918
B110027-20,185.4158137
B110027-21,169.7399618
B110027-22,182.1384239
B110027-23,282.9609907
B110027-24,328.3612469
B110027-25,207.1689736
B110027-26,168.2151266
B110027-27,181.843591
B110027-28,241.8001628
B110027-29,249.9328072
B110027-3,235.3647351
B110027-30,415.8693337
B110027-31,119.4666629
B110027-32,304.6408537
B110027-33,346.5715793
B110027-34,168.0024934
B110027-4,236.9109631
B110027-5,237.2752821
B110027-6,101.5783367
B110027-7,137.1330952
B110027-8,250.6286903
B110027-9,235.1703462
B120094-1,159.4551284
B120094-10,142.8210758
B120094-11,125.7467257
B120094-12,179.7680764
B120094-13,147.654147
B120094-14,191.2966919
B120094-15,130.9487753
B120094-16,268.5870205
B120094-17,242.9815674
B120094-18,208.4901571
B120094-19,160.1479247
B120094-2,300.4205358
B120094-20,187.2982829
B120094-21,100.6177883
