stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300000,"ORIENTAL BL/MACKENZIE ST",,  40.578209, -73.939697,,,0,
300002,"ORIENTAL BL/JAFFRAY ST",,  40.578068, -73.943031,,,0,
300003,"ORIENTAL BL/HASTINGS ST",,  40.577961, -73.944664,,,0,
300004,"ORIENTAL BL/FALMOUTH ST",,  40.577721, -73.946205,,,0,
300006,"ORIENTAL BL/DOVER ST",,  40.577354, -73.949554,,,0,
300007,"ORIENTAL BL/BEAUMONT ST",,  40.577148, -73.951385,,,0,
300008,"ORIENTAL BL/WEST END AV",,  40.577003, -73.952721,,,0,
300009,"BRIGHTON BEACH AV/CORBIN PL",,  40.577461, -73.954407,,,0,
300010,"BRIGHTON BEACH AV/BRIGHTON 14 ST",,  40.577957, -73.956383,,,0,
300011,"BRIGHTON BEACH AV/BRIGHTON 12 ST",,  40.578369, -73.958176,,,0,
300012,"BRIGHTON BEACH AV/CONEY ISLAND AV",,  40.578014, -73.959770,,,0,
300013,"BRIGHTON BEACH AV/BRIGHTON 5 ST",,  40.577404, -73.962837,,,0,
300014,"BRIGHTON BEACH AV/BRIGHTON 3 ST",,  40.577034, -73.964600,,,0,
300016,"BRIGHTON BEACH AV/OCEAN PY",,  40.576424, -73.967438,,,0,
300017,"OCEAN PY/OCEAN VIEW AV",,  40.578739, -73.967850,,,0,
300018,"OCEAN PY/NEPTUNE AV",,  40.580219, -73.967567,,,0,
300019,"OCEAN PY/WEST AV",,  40.581417, -73.967278,,,0,
300020,"OCEAN PY/SHORE PY",,  40.585468, -73.966240,,,0,
300022,"AV X/E 2 ST",,  40.590771, -73.968781,,,0,
300023,"AV X/WEST ST",,  40.590565, -73.970627,,,0,
300024,"AV X/W 2 ST",,  40.590343, -73.972610,,,0,
300025,"AV X/MC DONALD AV",,  40.590191, -73.973999,,,0,
300026,"86 ST/VAN SICKLEN ST",,  40.591331, -73.976112,,,0,
300028,"86 ST/W 9 ST",,  40.593826, -73.980240,,,0,
300029,"86 ST/W 11 ST",,  40.595116, -73.982376,,,0,
300030,"86 ST/AV U",,  40.595741, -73.983414,,,0,
300031,"86 ST/STILLWELL AV",,  40.596756, -73.985085,,,0,
300032,"86 ST/25 AV",,  40.597874, -73.987053,,,0,
300033,"86 ST/24 AV",,  40.599205, -73.989227,,,0,
300034,"86 ST/23 AV",,  40.600525, -73.991425,,,0,
300035,"86 ST/BAY PY",,  40.601879, -73.993637,,,0,
300036,"86 ST/21 AV",,  40.603241, -73.995903,,,0,
300037,"86 ST/20 AV",,  40.604568, -73.998093,,,0,
300038,"86 ST/19 AV",,  40.605900, -74.000298,,,0,
300039,"86 ST/NEW UTRECHT AV",,  40.606289, -74.000862,,,0,
300040,"86 ST/18 AV",,  40.607525, -74.002907,,,0,
300041,"86 ST/17 AV",,  40.608868, -74.005119,,,0,
300042,"86 ST/16 AV",,  40.610352, -74.007584,,,0,
300043,"86 ST/15 AV",,  40.611706, -74.009827,,,0,
300044,"86 ST/14 AV",,  40.613064, -74.012070,,,0,
300045,"86 ST/13 AV",,  40.614063, -74.013725,,,0,
300046,"13 AV/84 ST",,  40.615395, -74.012421,,,0,
300047,"13 AV/82 ST",,  40.616543, -74.011238,,,0,
300048,"13 AV/79 ST",,  40.618206, -74.009499,,,0,
300049,"13 AV/77 ST",,  40.619308, -74.008354,,,0,
300050,"13 AV/BAY RIDGE PY",,  40.620533, -74.007088,,,0,
300051,"13 AV/73 ST",,  40.621658, -74.005905,,,0,
300052,"13 AV/71 ST",,  40.622761, -74.004768,,,0,
300053,"BAY RIDGE AV/13 AV",,  40.623955, -74.004204,,,0,
300054,"BAY RIDGE AV/12 AV",,  40.625259, -74.006363,,,0,
300055,"BAY RIDGE AV/11 AV",,  40.626598, -74.008591,,,0,
300056,"BAY RIDGE AV/10 AV",,  40.627892, -74.010719,,,0,
300057,"BAY RIDGE AV/FT HAMILTON PY",,  40.628929, -74.012436,,,0,
300060,"OVINGTON AV/6 AV",,  40.631428, -74.018738,,,0,
300061,"BAY RIDGE AV/6 AV",,  40.632553, -74.018875,,,0,
300062,"BAY RIDGE AV/5 AV",,  40.633457, -74.020866,,,0,
300063,"BAY RIDGE AV/4 AV",,  40.634838, -74.023872,,,0,
300064,"BAY RIDGE AV/3 AV",,  40.635937, -74.026505,,,0,
300065,"BAY RIDGE AV/RIDGE BL",,  40.636711, -74.029007,,,0,
300066,"BAY RIDGE AV/COLONIAL RD",,  40.637516, -74.031609,,,0,
300067,"NARROWS AV/BAY RIDGE AV",,  40.637878, -74.034088,,,0,
300068,"NARROWS AV/MACKAY PL",,  40.636581, -74.034622,,,0,
300071,"BAY RIDGE AV/SHORE RD",,  40.638569, -74.035370,,,0,
300073,"BAY RIDGE AV/COLONIAL RD",,  40.637192, -74.030922,,,0,
300074,"BAY RIDGE AV/RIDGE BL",,  40.636379, -74.028313,,,0,
300075,"BAY RIDGE AV/3 AV",,  40.635536, -74.025681,,,0,
300076,"BAY RIDGE AV/4 AV",,  40.634411, -74.023209,,,0,
300077,"BAY RIDGE AV/5 AV",,  40.633495, -74.021210,,,0,
300078,"BAY RIDGE AV/6 AV",,  40.632160, -74.018333,,,0,
300079,"BAY RIDGE AV/7 AV",,  40.631622, -74.017120,,,0,
300080,"BAY RIDGE AV/7 AV",,  40.630779, -74.015732,,,0,
300082,"BAY RIDGE AV/FT HAMILTON PY",,  40.628414, -74.011818,,,0,
300084,"BAY RIDGE AV/11 AV",,  40.626114, -74.008011,,,0,
300085,"BAY RIDGE AV/12 AV",,  40.624783, -74.005806,,,0,
300086,"BAY RIDGE AV/13 AV",,  40.623730, -74.004059,,,0,
300087,"13 AV/71 ST",,  40.622353, -74.005402,,,0,
300088,"13 AV/73 ST",,  40.621231, -74.006577,,,0,
300089,"13 AV/BAY RIDGE PY",,  40.620064, -74.007782,,,0,
300090,"13 AV/77 ST",,  40.618935, -74.008957,,,0,
300091,"13 AV/79 ST",,  40.617802, -74.010139,,,0,
300092,"13 AV/82 ST",,  40.616154, -74.011856,,,0,
300093,"13 AV/85 ST",,  40.614506, -74.013565,,,0,
300094,"86 ST/13 AV",,  40.613804, -74.013664,,,0,
300095,"86 ST/14 AV",,  40.612747, -74.011909,,,0,
300096,"86 ST/15 AV",,  40.611115, -74.009224,,,0,
300097,"86 ST/16 AV",,  40.610088, -74.007515,,,0,
300098,"86 ST/17 AV",,  40.608330, -74.004601,,,0,
300099,"86 ST/18 AV",,  40.606983, -74.002380,,,0,
300100,"86 ST/19 AV",,  40.605961, -74.000610,,,0,
300101,"86 ST/20 AV",,  40.604610, -73.998367,,,0,
300102,"86 ST/21 AV",,  40.603329, -73.996239,,,0,
300103,"86 ST/BAY PY",,  40.601986, -73.994003,,,0,
300104,"86 ST/23 AV",,  40.600616, -73.991745,,,0,
300105,"86 ST/24 AV",,  40.599308, -73.989578,,,0,
