route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B82,EN_C4-Weekday,EN_C4-Weekday-000000_B82_101,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-006500_B82_101,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-014000_B82_101,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-020500_B82_101,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-007000_B82_102,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-013500_B82_102,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-021000_B82_102,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-027500_B82_102,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-024500_B82_103,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-031600_B82_103,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-038800_B82_103,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-047800_B82_103,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-056700_B42_5,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-067600_B42_5,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-078300_B82_140,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-087800_B82_140,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-096500_B82_154,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-105900_B82_154,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-114600_B82_154,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-125200_B82_153,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-133500_B82_153,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-141500_B82_153,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-027500_B82_104,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-034600_B82_104,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-042500_B82_104,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-051900_B82_128,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-029500_B42_1,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-037100_B42_1,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-045800_B42_1,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-055900_B82_135,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-031000_B82_105,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-039500_B82_105,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-047600_B82_105,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-057400_B82_137,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-032200_B82_106,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-039400_B82_106,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-047800_B82_106,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-057900_B82_104,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-066700_B82_104,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-077300_B82_129,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-087300_B82_129,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-096800_B42_6,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-032300_B82_107,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-040700_B82_107,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-048700_B82_107,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-059500_B82_138,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-069900_B82_123,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-079100_B82_123,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-088400_B82_123,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-097700_B82_150,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-107600_B82_150,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-117500_B82_143,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-033400_B82_108,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-040900_B82_108,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-049000_B82_108,CONEY ISLAND via FLATLANDS via KINGS HWY,1,B820185
B82,EN_C4-Weekday,EN_C4-Weekday-059100_B82_139,SPRNG CRK TWR via KNGS HWY via FLTLND AV,0,B820187
B82,EN_C4-Weekday,EN_C4-Weekday-068700_B82_139,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820183
B82,EN_C4-Weekday,EN_C4-Weekday-078900_B82_109,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820189
B82,EN_C4-Weekday,EN_C4-Weekday-088800_B82_125,25 AV CROPSEY AV,1,B820179
B82,EN_C4-Weekday,EN_C4-Weekday-098300_B82_125,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820190
B82,EN_C4-Weekday,EN_C4-Weekday-033500_B82_109,25 AV CROPSEY AV,1,B820179
