shape_id,segment_id,meters_accumulated
B10149,1,1.16
B10149,2,295.08
B10149,3,433.69
B10149,4,567.17
B10149,5,853.19
B10149,6,1010.31
B10149,7,1124.61
B10149,8,1331.38
B10149,9,1514.08
B10149,10,1668.5
B10149,11,1880.81
B10149,12,2076.71
B10149,13,2232.06
B10149,14,2386.58
B10149,15,2486.54
B10149,16,2852.6
B10149,17,3018.49
B10149,18,3153.53
B10149,19,3613.02
B10149,20,4303.57
B10149,21,4558.76
B10149,22,4716.99
B10149,23,4885.77
B10149,24,5005.04
B10149,25,5233.77
B10149,26,5434.68
B10149,27,5680
B10149,28,5911.16
B10149,29,6022.57
B10149,30,6203.37
B10149,31,6411.68
B10149,32,6647.99
B10149,33,6884.1
B10149,34,7124.63
B10149,35,7368.82
B10149,36,7605.63
B10149,37,7843.93
B10149,38,7908.11
B10149,39,8128.93
B10149,40,8368.36
B10149,41,8633.87
B10149,42,8876.33
B10149,43,9118.46
B10149,44,9297.25
B10149,45,9584.03
B10149,46,9821.41
B10149,47,10140.89
B10149,48,10490.32
B10149,49,10637.99
B10149,50,10898.47
B10152,1,155.06
B10152,2,361.59
B10152,3,567.94
B10152,4,720.93
B10152,5,921.53
B10152,6,1220.82
B10152,7,1418.51
B10152,8,1703.5
B10152,9,1892.94
B10152,10,2183.9
B10152,11,2367.48
B10152,12,2682.36
B10152,13,2922.2
B10152,14,3110.52
B10152,15,3352.72
B10152,16,3581.97
B10152,17,3823.36
B10152,18,4067.28
B10152,19,4301.22
B10152,20,4543.67
B10152,21,4731.2
B10152,22,4963.51
B10152,23,5293.62
B10152,24,5460.28
B10152,25,5658.64
B10152,26,5995.43
B10152,27,6245.03
B10152,28,6409.37
B10152,29,6561.54
B10152,30,6695.02
B10152,31,7454.43
B10152,32,7810.77
B10152,33,7936.12
B10152,34,8201.9
B10152,35,8480.82
B10152,36,8672.03
B10152,37,8818.88
B10152,38,9016.19
B10152,39,9166.14
B10152,40,9356.04
B10152,41,9570.43
B10152,42,9678.29
B10152,43,9826.86
B10152,44,10043.45
B10152,45,10191.54
B10152,46,10312.39
B10152,47,10602.69
B10152,48,10839.23
B10152,49,10949.72
B10152,50,10951.73
B10153,1,232.31
B10153,2,562.42
B10153,3,729.08
B10153,4,927.44
B10153,5,1264.23
B10153,6,1513.83
B10153,7,1678.17
B10153,8,1830.34
B10153,9,1963.82
B10153,10,2723.23
B10153,11,3079.57
B10153,12,3204.92
B10153,13,3470.7
B10153,14,3749.62
B10153,15,3940.83
B10153,16,4087.68
B10153,17,4284.99
B10153,18,4434.94
B10153,19,4624.84
B10153,20,4839.23
B10153,21,4947.09
B10153,22,5095.66
B10153,23,5312.25
B10153,24,5460.34
B10153,25,5581.19
B10153,26,5871.49
B10153,27,6108.03
B10153,28,6218.52
B10153,29,6220.53
B110025,1,375.6
B110025,2,546.07
B110025,3,733.89
B110025,4,858.82
B110025,5,1266.82
B110025,6,1488.34
B110025,7,1695.73
B110025,8,1923.26
B110025,9,2125.86
B110025,10,2327.34
B110025,11,2643.92
B110025,12,2969.75
B110025,13,3128.23
B110025,14,3299.38
B110025,15,3440.89
B110025,16,3693.28
B110025,17,3820.91
B110025,18,4145.36
B110025,19,4475.75
B110025,20,4637.67
B110025,21,4858.68
B110025,22,5119.46
B110025,23,5362.72
B110025,24,5600.66
B110025,25,5844.53
B110025,26,6073.01
B110025,27,6309.51
B110025,28,6555.4
B110025,29,6792.72
B110025,30,7027.64
B110025,31,7263.22
B110025,32,7493.9
B110025,33,7741.27
B110025,34,7932.4
B110025,35,8313
B110025,36,8470.95
B110025,37,8692.63
B110025,38,8876.22
B110025,39,9086.36
B110025,40,9281.31
B110025,41,9531.97
B110025,42,9732.45
B110026,1,363
B110026,2,677.76
B110026,3,948.93
B110026,4,1089.99
B110026,5,1313.81
B110026,6,1551.53
B110026,7,1789.77
B110026,8,2028.83
B110026,9,2264.19
B110026,10,2501.1
B110026,11,2738.38
B110026,12,2839.96
B110026,13,2977.09
B110026,14,3227.72
B110026,15,3462.89
B110026,16,3685.88
B110026,17,3929.85
B110026,18,4165.52
B110026,19,4433.17
B110026,20,4655.75
B110026,21,4906.18
B110026,22,5090.7
B110026,23,5278.28
B110026,24,5451.27
B110026,25,5657.14
B110026,26,5842.56
B110026,27,6012.3
B110026,28,6194.44
B110026,29,6477.4
B110026,30,6805.76
B110026,31,7012.93
B110026,32,7181.15
B110026,33,7362.99
B110026,34,7604.79
B110026,35,7854.72
B110026,36,8270.59
B110026,37,8390.06
B110026,38,8694.7
B110026,39,9041.27
B110026,40,9209.27
B110027,1,238.24
B110027,2,477.3
B110027,3,712.66
B110027,4,949.57
B110027,5,1186.85
B110027,6,1288.43
B110027,7,1425.56
B110027,8,1676.19
B110027,9,1911.36
B110027,10,2134.35
B110027,11,2378.32
B110027,12,2613.99
B110027,13,2881.64
B110027,14,3104.22
B110027,15,3354.65
B110027,16,3539.17
B110027,17,3726.75
B110027,18,3899.74
B110027,19,4105.61
B110027,20,4291.03
B110027,21,4460.77
B110027,22,4642.91
B110027,23,4925.87
B110027,24,5254.23
B110027,25,5461.4
B110027,26,5629.62
B110027,27,5811.46
B110027,28,6053.26
B110027,29,6303.19
B110027,30,6719.06
B110027,31,6838.53
B110027,32,7143.17
B110027,33,7489.74
B110027,34,7657.74
B120094,1,159.46
B120094,2,459.88
B120094,3,601.33
B120094,4,839.07
B120094,5,1128.22
B120094,6,1374.84
B120094,7,1579.89
B120094,8,1776.09
B120094,9,2022.9
B120094,10,2165.72
B120094,11,2291.47
B120094,12,2471.24
B120094,13,2618.89
B120094,14,2810.19
B120094,15,2941.14
B120094,16,3209.73
B120094,17,3452.71
B120094,18,3661.2
B120094,19,3821.35
B120094,20,4008.65
B120094,21,4109.27
B120094,22,4307.04
B120094,23,4451.55
B120094,24,4630.68
B120094,25,4777.36
B120094,26,4866.96
B120094,27,5001.91
B120094,28,5172.24
B120094,29,5344.84
B120094,30,5517.66
B120094,31,5796.84
B120094,32,6023.47
B120094,33,6144.67
B120094,34,6606.04
B120095,1,439.08
B120095,2,599.36
B120095,3,876.23
B120095,4,965.28
B120095,5,1163.57
B120095,6,1452.19
B120095,7,1759.63
B120095,8,1856.54
B120095,9,2272.51
B120095,10,2426.4
B120095,11,2610.94
B120095,12,2702.03
B120095,13,2921.62
B120095,14,3138.32
B120095,15,3382.92
B120095,16,3710.24
B120095,17,3945.45
B120095,18,4090.35
B120095,19,4205.77
B120095,20,4431.22
B120095,21,4625.53
B120095,22,4780.32
B120095,23,4998.15
B120095,24,5216.56
B120095,25,5511.45
B120095,26,5710.02
B120095,27,6051.36
B120095,28,6281.58
B120095,29,6471.93
B120095,30,6587.32
B130135,1,203.9
B130135,2,360.22
B130135,3,519.29
B130135,4,679.15
B130135,5,986.99
B130135,6,1292.38
B130135,7,1454.57
B130135,8,1581.63
B130135,9,1739.34
B130135,10,1890.12
B130135,11,2058.87
B130135,12,2233.19
B130135,13,2339.26
B130135,14,2549.28
B130135,15,2906.11
B130135,16,3168.3
B130135,17,3281.74
B130135,18,3484.31
B130135,19,3801.38
B130135,20,3927.95
B130135,21,4109.61
B130135,22,4268.83
B130135,23,4441.23
B130135,24,4597.25
B130135,25,4726.91
B130135,26,4914.32
B130135,27,5149.25
B130135,28,5325.08
B130135,29,6092.91
B130135,30,6271.11
B130135,31,6412.29
B130135,32,6855.5
B130135,33,7046.9
B130135,34,7244.77
B130135,35,7466.64
B130135,36,7616.69
B130135,37,7825.99
B130135,38,8030.53
B130135,39,8173.89
B130135,40,8318.66
B130135,41,8448.07
B130135,42,8602.07
B130135,43,8777.23
B130135,44,8945.67
B130135,45,9095.33
B130135,46,9155.42
B130135,47,9336.41
B130135,48,9492.2
B130135,49,9960.32
B130135,50,9974.02
B130135,51,10153.81
B130135,52,10422.23
B130135,53,10791.35
B130135,54,10996.44
B130135,55,11174.35
B130135,56,11365.2
B130135,57,11719.62
B130135,58,12208.38
B130135,59,12726.79
B130137,1,70.44
B130137,2,613.86
B130137,3,869.63
B130137,4,1003.4
B130137,5,1190.28
B130137,6,1385.79
B130137,7,1572.51
B130137,8,1750.64
B130137,9,2226.77
B130137,10,2426.57
B130137,11,2760.95
B130137,12,2875.85
B130137,13,2967.72
B130137,14,3082.51
B130137,15,3252.97
B130137,16,3410.29
B130137,17,3596.16
B130137,18,3944.34
B130137,19,4080.65
B130137,20,4256.04
B130137,21,4513.16
B130137,22,4648.84
B130137,23,4998.93
B130137,24,5189.78
B130137,25,5452.96
B130137,26,5669.66
B130137,27,5868.25
B130137,28,6038.62
B130137,29,6267.54
B130137,30,6426.41
B130137,31,7244.87
B130137,32,7415.45
B130137,33,7621.71
B130137,34,7851.09
B130137,35,7990.01
B130137,36,8193.85
B130137,37,8356.09
B130137,38,8513.13
B130137,39,8622.15
B130137,40,8863.12
B130137,41,9025.18
B130137,42,9215.62
B130137,43,9374.5
B130137,44,9526.93
B130137,45,9679.33
B130137,46,10066.47
B130137,47,10294.57
B130137,48,10521.46
B130137,49,10689.84
B130137,50,10841.56
B130137,51,11000.79
B130137,52,11129.37
B130137,53,11241.31
B130137,54,11391.63
B130137,55,11621.54
B130137,56,11979.93
B130137,57,12145.69
B130137,58,12286.07
B130137,59,12532.23
B130137,60,12952.48
B140040,1,199.8
B140040,2,534.18
B140040,3,740.95
B140040,4,855.74
B140040,5,1241.01
B140040,6,1535.04
B140040,7,1695.3
B140040,8,1803.4
B140040,9,2092.72
B140040,10,2215.09
B140040,11,2373.33
B140040,12,2533.91
B140040,13,2688.87
B140040,14,2832.97
B140040,15,2973.39
B140040,16,3122.32
B140040,17,3282.34
B140040,18,3431.29
B140040,19,3587.63
B140040,20,3743.91
B140040,21,3912.24
B140040,22,4150.79
B140040,23,4313.7
B140040,24,4440.97
B140040,25,4542.85
B140040,26,4724.97
B140040,27,4901.41
B140040,28,4977.31
B140040,29,5165.7
B140040,30,5390.23
B140040,31,5566.19
B140040,32,5708.64
B140040,33,5855.37
B140040,34,6009.73
B140040,35,6175.02
B140040,36,6329.45
B140040,37,6494.89
B140040,38,6653.45
B140040,39,6773.1
B140040,40,7359.95
B140040,41,7544.1
B140040,42,7798.57
B140040,43,8065.93
B140040,44,8266.07
B140040,45,8529.05
B140041,1,280.25
B140041,2,456.68
B140041,3,762.16
B140041,4,928.69
B140041,5,1107.82
B140041,6,1344.05
B140041,7,1498.7
B140041,8,1664.14
B140041,9,1902.98
B140041,10,2063.5
B140041,11,2227.67
B140041,12,2478.94
B140041,13,2512.46
B140041,14,2635.97
B140041,15,2862.93
B140041,16,3099.23
B140041,17,3273.02
B140041,18,3447.78
B140041,19,3603.4
B140041,20,3847.55
B140041,21,4000.33
B140041,22,4164.94
B140041,23,4404.02
B140041,24,4564.01
B140041,25,4715.05
B140041,26,4871.14
B140041,27,5019.46
B140041,28,5161.99
B140041,29,5260.9
B140041,30,5456.52
B140041,31,5614.59
B140041,32,5772.25
B140041,33,5979.97
B140041,34,6189.43
B140041,35,6329.71
B140041,36,6613.27
B140041,37,6772.18
B140041,38,7016.25
B140041,39,7360.06
B140041,40,7459.42
B140041,41,7714.7
B140041,42,7854.58
B140041,43,8034.37
B140041,44,8302.79
B150219,1,190.57
B150219,2,390.41
B150219,3,598.69
B150219,4,764.56
B150219,5,847.8
B150219,6,1012.93
B150219,7,1260.18
B150219,8,1425.72
B150219,9,1589.14
B150219,10,1753.58
B150219,11,1869.15
B150219,12,2036.21
B150219,13,2250.25
B150219,14,2404.34
B150219,15,2611.39
B150219,16,2783.58
B150219,17,2968.65
B150219,18,3250.85
B150219,19,3486.44
B150219,20,3668.4
B150219,21,3805.47
B150219,22,3912.68
B150219,23,4174.14
B150219,24,4342.4
B150219,25,4535.73
B150219,26,4739.33
B150219,27,4914.13
B150219,28,5112.06
B150219,29,5318.17
B150219,30,5619.06
B150219,31,5827.55
B150219,32,6060.94
B150219,33,6299.23
B150219,34,6525.19
B150219,35,6663.13
B150219,36,6926.34
B150219,37,6993.45
B150219,38,7152.09
B150219,39,7308.51
B150219,40,7428.05
B150219,41,7648.93
B150219,42,7863.68
B150219,43,8068.62
B150219,44,8196.44
B150219,45,8330.48
B150219,46,8526.24
B150219,47,8672.14
B150219,48,8837.07
B150219,49,8906.03
B150219,50,9156.8
B150219,51,9322.3
B150219,52,9484.69
B150219,53,9625.05
B150219,54,9777.78
B150219,55,9900.6
B150219,56,10103.7
B150219,57,10308.47
B150219,58,10519.35
B150219,59,10631.35
B150219,60,10885.26
B150219,61,11066.25
B150219,62,11222.04
B150219,63,11496.14
B150219,64,11714.36
B150220,1,173.35
B150220,2,345.24
B150220,3,460.14
B150220,4,552.01
B150220,5,666.8
B150220,6,837.26
B150220,7,994.58
B150220,8,1168.36
B150220,9,1381.67
B150220,10,1498.87
B150220,11,1721.26
B150220,12,1875.57
B150220,13,2081.03
B150220,14,2363.34
B150220,15,2599.93
B150220,16,2823.97
B150220,17,2993.19
B150220,18,3105.79
B150220,19,3315.92
B150220,20,3516.28
B150220,21,3663.36
B150220,22,3872.89
B150220,23,4154.77
B150220,24,4334.59
B150220,25,4510.06
B150220,26,4688.44
B150220,27,4797.85
B150220,28,4918.71
B150220,29,5147.52
B150220,30,5380.3
B150220,31,5570.64
B150220,32,5817.17
B150220,33,5982.76
B150220,34,6233.11
B150220,35,6367.51
B150220,36,6573.64
B150220,37,6755.83
B150220,38,6903.75
B150220,39,7108.95
B150220,40,7240.15
B150220,41,7548.01
B150220,42,7835.25
B150220,43,7933.96
B150220,44,8035.52
B150220,45,8222.21
B150220,46,8455.7
B150220,47,8684.87
B150220,48,8926.27
B150220,49,9060.87
B150220,50,9228.72
B150220,51,9408.52
B150220,52,9627.01
B150220,53,9788.61
B150220,54,9908.72
B150220,55,10128.66
B150220,56,10282.17
B150220,57,10449.12
B150220,58,10697.47
B150220,59,10854.29
B150220,60,11032.24
B150220,61,11104.53
B150220,62,11267.54
B150220,63,11442.21
B150220,64,11600.15
B150220,65,11730.36
B150220,66,11992.2
B150225,1,190.57
B150225,2,390.41
B150225,3,598.69
B150225,4,764.56
B150225,5,847.8
B150225,6,1012.93
B150225,7,1260.18
B150225,8,1425.72
B150225,9,1589.14
B150225,10,1753.58
B150225,11,1869.15
B150225,12,2036.21
B150225,13,2250.25
B150225,14,2404.34
B150225,15,2611.39
B150225,16,2783.58
B150225,17,2968.65
B150225,18,3250.85
B150225,19,3486.44
B150225,20,3668.4
B150225,21,3805.47
B150225,22,3912.68
B150225,23,4174.14
B150225,24,4342.4
B150225,25,4535.73
B150225,26,4739.33
B150225,27,4914.13
B150225,28,5112.06
B150225,29,5318.17
B150225,30,5619.06
B150225,31,5827.55
B150225,32,6060.94
B150225,33,6299.23
B150225,34,6525.19
B150225,35,6663.13
B150225,36,6926.34
B150225,37,6993.45
B150225,38,7152.09
B150225,39,7308.51
B150225,40,7428.05
B150225,41,7648.93
B150225,42,7863.68
B150225,43,8068.62
B150225,44,8196.44
B150225,45,8330.48
B150225,46,8526.24
B150225,47,8672.14
B150225,48,8837.07
B150225,49,8906.03
B150225,50,9156.8
B150225,51,9322.3
B150225,52,9484.69
B150225,53,9625.05
B150225,54,9777.78
B150225,55,9900.6
B150225,56,10103.7
B150225,57,10308.47
B150225,58,10519.35
B150225,59,10631.35
B150225,60,10885.26
B150225,61,11066.25
B150225,62,11222.04
B150225,63,11496.14
B150225,64,11814.29
B150225,65,12055.16
B150225,66,15213.62
B150225,67,16845.92
B150225,68,16998.4
B150225,69,17281
B150225,70,17629.7
B150225,71,18017.96
B150225,72,18696.89
B150225,73,20882.45
B150226,1,145.9
B150226,2,310.83
B150226,3,379.79
B150226,4,630.56
B150226,5,796.06
B150226,6,958.45
B150226,7,1098.81
B150226,8,1251.54
B150226,9,1374.36
B150226,10,1577.46
B150226,11,1782.23
B150226,12,1993.11
B150226,13,2105.11
B150226,14,2359.02
B150226,15,2540.01
B150226,16,2695.8
B150226,17,2969.9
B150226,18,3288.05
B150226,19,3528.92
B150226,20,6687.38
B150226,21,8319.68
B150226,22,8472.16
B150226,23,8754.76
B150226,24,9103.46
B150226,25,9491.72
B150226,26,10170.65
B150226,27,12356.21
B150227,1,2427.33
B150227,2,2820.94
B150227,3,3033.39
B150227,4,3378.25
B150227,5,4105.15
B150227,6,5578.86
B150227,7,8757.82
B150227,8,9001.01
B150227,9,9165.2
B150227,10,9334.52
B150227,11,9449.31
B150227,12,9619.77
B150227,13,9777.09
B150227,14,9950.87
B150227,15,10164.18
B150227,16,10281.38
B150227,17,10503.77
B150227,18,10658.08
B150227,19,10863.54
B150227,20,11145.85
B150227,21,11382.44
B150227,22,11606.48
B150227,23,11775.7
B150227,24,11888.3
B150227,25,12098.43
B150227,26,12298.79
B150227,27,12445.87
B150227,28,12655.4
B150227,29,12937.28
B150227,30,13117.1
B150227,31,13292.57
B150227,32,13470.95
B150227,33,13580.36
B150227,34,13701.22
B150227,35,13930.03
B150227,36,14162.81
B150227,37,14353.15
B150227,38,14599.68
B150227,39,14765.27
B150227,40,15015.62
B150227,41,15150.02
B150227,42,15356.15
B150227,43,15538.34
B150227,44,15686.26
B150227,45,15891.46
B150227,46,16022.66
B150227,47,16330.52
B150227,48,16617.76
B150227,49,16716.47
B150227,50,16818.03
B150227,51,17004.72
B150227,52,17238.21
B150227,53,17467.38
B150227,54,17708.78
B150227,55,17843.38
B150227,56,18011.23
B150227,57,18191.03
B150227,58,18409.52
B150227,59,18571.12
B150227,60,18691.23
B150227,61,18911.17
B150227,62,19064.68
B150227,63,19231.63
B150227,64,19479.98
B150227,65,19636.8
B150227,66,19814.75
B150227,67,19887.04
B150227,68,20050.05
B150227,69,20224.72
B150227,70,20382.66
B150227,71,20512.87
B150227,72,20774.71
B160049,1,151.79
B160049,2,311.52
B160049,3,478.11
B160049,4,722.42
B160049,5,953.55
B160049,6,1253.97
B160049,7,1390.47
B160049,8,1628.2
B160049,9,1911.16
B160049,10,2156.93
B160049,11,2344.13
B160049,12,2644.66
B160049,13,2851.19
B160049,14,3059.63
B160049,15,3258.1
B160049,16,3456.52
B160049,17,3662.09
B160049,18,3831.53
B160049,19,3948.31
B160049,20,4086.39
B160049,21,4244.51
B160049,22,4439.86
B160049,23,4567.35
B160049,24,4729.22
B160049,25,4902.35
B160049,26,5061.86
B160049,27,5181.55
B160049,28,5312.28
B160049,29,5559.04
B160049,30,5776.41
B160049,31,6015.53
B160049,32,6205.1
B160049,33,6313.49
B160049,34,6486.5
B160049,35,6726.11
B160049,36,6964.93
B160049,37,7202.78
B160049,38,7441.91
B160049,39,7679.29
B160049,40,7837.68
B160049,41,8091.78
B160049,42,8371.98
B160049,43,8495.49
B160049,44,8765.97
B160049,45,9035.36
B160049,46,9337.63
B160049,47,9591.1
B160049,48,9718.86
B160049,49,9962.03
B160049,50,10058.91
B160049,51,10353.99
B160049,52,10522.66
B160049,53,10693.29
B160049,54,10907.72
B160049,55,11065.52
B160049,56,11360.99
B160049,57,11605.27
B160049,58,12002.91
B160049,59,12306.31
B160049,60,12593.92
B160050,1,160.01
B160050,2,468.91
B160050,3,791.87
