shape_id,sequence_id,meters,stop_id
B1000031,1,0.0,308452
B1000031,2,94.6,350129
B1000031,3,585.1,350217
B1000031,4,958.1,350158
B1000031,5,1404.9,303920
B1000031,6,1989.7,300788
M14D0017,1,0.0,401608
M14D0017,2,372.3,401575
M14D0017,3,652.6,401294
M14D0017,4,926.7,401577
M14D0017,5,1228.8,401578
M14D0017,6,1389.0,401579
M14D0017,7,1652.6,403556
M14D0017,8,1863.6,401191
M14D0017,9,2075.3,401192
M14D0017,10,2303.5,401193
M14D0017,11,2463.3,401194
M14D0017,12,2689.0,401195
M14D0017,13,2915.5,401587
M14D0017,14,3113.6,401589
M14D0017,15,3468.4,401591
M14D0017,16,3665.0,401594
M14D0017,17,3814.7,401595
M14D0017,18,4047.3,405260
M14D0017,19,4158.3,403808
M14D0017,20,4297.2,401598
M14D0017,21,4338.2,401599
M14D0017,22,4684.3,401600
M14D0017,23,4873.9,403557
M14D0017,24,5189.7,903088
S610056,1,0.0,200457
S610056,2,818.0,202846
S610056,3,1137.9,202845
S610056,4,1718.4,202844
S610056,5,2259.2,202842
S610056,6,2650.4,202841
S610056,7,3004.9,202840
S610056,8,3309.4,202990
S610056,9,3720.3,203133
S610056,10,3960.1,203557
S610056,11,4181.8,202697
S610056,12,4413.2,203359
S610056,13,4822.5,202699
S610056,14,4981.1,202700
S610056,15,5612.4,202937
S610056,16,6286.1,202702
S610056,17,6583.1,202703
S610056,18,6788.6,202704
S610056,19,7111.3,202705
S610056,20,7393.0,203026
S610056,21,7549.8,202707
S610056,22,7777.4,202708
S610056,23,8074.7,201476
S610056,24,8239.7,201477
S610056,25,8581.8,203538
S610056,26,8818.6,203406
S610056,27,9013.3,201480
S610056,28,9237.8,200534
S610056,29,9517.4,200535
S610056,30,9691.3,200536
S610056,31,9883.6,200537
S610056,32,10166.4,200538
S610056,33,10378.8,200539
S610056,34,10671.9,200540
S610056,35,10838.5,200541
S610056,36,11143.2,200542
S610056,37,11412.2,200543
S610056,38,11543.8,200544
S610056,39,11746.4,200545
S610056,40,12049.0,200546
S610056,41,12217.7,202692
S610056,42,12412.4,202615
S610056,43,12761.5,200548
S610056,44,13076.8,200549
S610056,45,13521.9,200550
S610056,46,13822.9,200551
S610056,47,14047.5,200552
S610056,48,14260.2,200553
S610056,49,14603.3,203972
S610056,50,14833.1,200284
S610056,51,15013.7,905002
S610056,52,15229.7,200154
S610056,53,15509.2,203650
S610056,54,15875.6,805020
S610057,1,0.0,202618
S610057,2,651.8,202846
S610057,3,971.7,202845
S610057,4,1552.2,202844
S610057,5,2093.0,202842
S610057,6,2484.2,202841
S610057,7,2838.7,202840
S610057,8,3143.2,202990
S610057,9,3554.1,203133
S610057,10,3793.9,203557
S610057,11,4015.6,202697
S610057,12,4247.0,203359
S610057,13,4656.3,202699
S610057,14,4814.9,202700
S610057,15,5446.2,202937
S610057,16,6119.9,202702
S610057,17,6416.9,202703
S610057,18,6622.4,202704
S610057,19,6945.1,202705
S610057,20,7226.8,203026
S610057,21,7383.6,202707
S610057,22,7611.2,202708
S610057,23,7908.5,201476
S610057,24,8073.5,201477
S610057,25,8415.6,203538
S610057,26,8652.4,203406
S610057,27,8847.1,201480
S610057,28,9071.6,200534
S610057,29,9351.2,200535
S610057,30,9525.1,200536
S610057,31,9717.4,200537
S610057,32,10000.2,200538
S610057,33,10212.6,200539
S610057,34,10505.7,200540
S610057,35,10672.3,200541
S610057,36,10977.0,200542
S610057,37,11246.0,200543
S610057,38,11377.6,200544
S610057,39,11580.2,200545
S610057,40,11882.8,200546
S610057,41,12051.5,202692
S610057,42,12246.2,202615
S610057,43,12595.3,200548
S610057,44,12910.6,200549
S610057,45,13355.7,200550
S610057,46,13656.7,200551
S610057,47,13881.3,200552
S610057,48,14094.0,200553
S610057,49,14437.1,203972
S610057,50,14666.9,200284
S610057,51,14847.5,905002
S610057,52,15063.5,200154
S610057,53,15343.0,203650
S610057,54,15709.4,805020
B460124,1,0.0,303598
B460124,2,85.2,303599
B460124,3,512.8,303601
B460124,4,726.3,303602
B460124,5,985.2,303603
B460124,6,1295.7,303604
B460124,7,1505.7,303605
B460124,8,1709.7,303606
B460124,9,1923.1,303607
B460124,10,2109.9,303608
B460124,11,2337.6,303609
B460124,12,2506.7,303610
B460124,13,2839.8,303612
B460124,14,3089.5,303613
B460124,15,3254.9,303614
B460124,16,3427.4,307083
B460124,17,3705.8,307086
B460124,18,3931.8,307668
B460126,1,0.0,307920
B460126,2,285.1,300163
B460126,3,678.3,303590
B460126,4,918.3,303591
B460126,5,1226.6,303592
B460126,6,1492.6,303593
B460126,7,1743.0,303594
B460126,8,1940.7,303595
B460126,9,2253.6,303596
B460126,10,2516.6,303597
B460126,11,2774.2,303598
B460126,12,3759.5,303603
B460126,13,4884.1,303608
B460126,14,5614.0,303612
B460126,15,6201.6,307083
B460126,16,6706.0,307668
B460126,17,6979.6,307094
B460126,18,7924.0,307092
B460126,19,8534.6,303625
B460126,20,9032.3,303627
B460126,21,9560.3,303630
B460127,1,0.0,303592
B460127,2,266.1,303593
B460127,3,516.5,303594
B460127,4,714.2,303595
B460127,5,1027.1,303596
B460127,6,1290.0,303597
B460127,7,1547.7,303598
B460127,8,2532.9,303603
B460127,9,3657.5,303608
B460127,10,4387.4,303612
B460127,11,4975.1,307083
B460127,12,5479.4,307668
B460127,13,5753.1,307094
B460127,14,6697.4,307092
B460127,15,7308.1,303625
B460127,16,7805.8,303627
B460127,17,8333.8,303630
B460121,1,0.0,303592
B460121,2,266.1,303593
B460121,3,516.5,303594
B460121,4,714.2,303595
B460121,5,1027.1,303596
B460121,6,1290.0,303597
B460121,7,1547.7,303598
B460121,8,1632.9,303599
B460121,9,2060.5,303601
B460121,10,2274.0,303602
B460121,11,2532.9,303603
B460121,12,2843.3,303604
B460121,13,3053.4,303605
B460121,14,3257.3,303606
B460121,15,3470.7,303607
B460121,16,3657.5,303608
B460121,17,3885.3,303609
B460121,18,4054.4,303610
B460121,19,4387.4,303612
B460121,20,4637.1,303613
B460121,21,4802.5,303614
B460121,22,4975.1,307083
B460121,23,5253.5,307086
B460121,24,5479.4,307668
B460121,25,5753.1,307094
B460121,26,6044.4,307093
B460121,27,6244.8,307090
B460121,28,6512.9,308066
B460121,29,6697.4,307092
B460121,30,6978.6,303624
B460121,31,7139.8,306321
B460121,32,7308.1,303625
B460121,33,7557.1,303626
B460121,34,7805.8,303627
B460121,35,8046.9,303628
B460121,36,8168.8,303629
B460121,37,8333.8,303630
B460122,1,0.0,307920
B460122,2,285.1,300163
B460122,3,678.3,303590
B460122,4,918.3,303591
B460122,5,1226.6,303592
B460122,6,1492.6,303593
B460122,7,1743.0,303594
B460122,8,1940.7,303595
B460122,9,2253.6,303596
B460122,10,2516.6,303597
B460122,11,2774.2,303598
B460122,12,2859.4,303599
B460122,13,3287.0,303601
B460122,14,3500.5,303602
B460122,15,3759.5,303603
B460122,16,4069.9,303604
B460122,17,4280.0,303605
B460122,18,4483.9,303606
B460122,19,4697.3,303607
B460122,20,4884.1,303608
B460122,21,5111.9,303609
B460122,22,5280.9,303610
B460122,23,5614.0,303612
B460122,24,5863.7,303613
B460122,25,6029.1,303614
B460122,26,6201.6,307083
B460122,27,6480.0,307086
B460122,28,6706.0,307668
B460123,1,0.0,303592
B460123,2,266.1,303593
B460123,3,516.5,303594
B460123,4,714.2,303595
B460123,5,1027.1,303596
B460123,6,1290.0,303597
B460123,7,1547.7,303598
B460123,8,1632.9,303599
B460123,9,2060.5,303601
B460123,10,2274.0,303602
B460123,11,2532.9,303603
B460123,12,2843.3,303604
B460123,13,3053.4,303605
B460123,14,3257.3,303606
B460123,15,3470.7,303607
B460123,16,3657.5,303608
B460123,17,3885.3,303609
B460123,18,4054.4,303610
B460123,19,4387.4,303612
B460123,20,4637.1,303613
B460123,21,4802.5,303614
B460123,22,4975.1,307083
B460123,23,5253.5,307086
B460123,24,5479.4,307668
B460128,1,0.0,307920
B460128,2,285.1,300163
B460128,3,678.3,303590
B460128,4,918.3,303591
B460128,5,1226.6,303592
B460128,6,1492.6,303593
B460128,7,1743.0,303594
B460128,8,1940.7,303595
B460128,9,2253.6,303596
B460128,10,2516.6,303597
B460128,11,2774.2,303598
B460128,12,3759.5,303603
B460128,13,4884.1,303608
B460128,14,5614.0,303612
B460128,15,6201.6,307083
B460128,16,6706.0,307668
B460129,1,0.0,303598
B460129,2,985.2,303603
B460129,3,2109.9,303608
B460129,4,2839.8,303612
B460129,5,3427.4,307083
B460129,6,3931.8,307668
B460129,7,4205.4,307094
B460129,8,5149.8,307092
B460129,9,5760.4,303625
B460129,10,6258.1,303627
B460129,11,6786.1,303630
Q010125,1,0.0,504472
Q010125,2,285.1,500002
Q010125,3,604.8,503984
Q010125,4,898.4,500004
Q010125,5,1088.4,500005
Q010125,6,1225.8,503571
Q010125,7,1624.8,500007
Q010125,8,1881.3,500008
Q010125,9,2086.9,500009
Q010125,10,2320.6,500010
Q010125,11,2506.8,500011
Q010125,12,2701.7,500012
Q010125,13,2889.9,500013
Q010125,14,3047.1,500014
Q010125,15,3252.0,500015
Q010125,16,3394.1,503978
Q010125,17,3550.8,500017
Q010125,18,3756.6,500018
Q010125,19,3928.1,500019
Q010125,20,4171.1,503965
Q010125,21,4452.7,500022
Q010125,22,4699.8,500023
Q010125,23,4934.2,500024
Q010125,24,5146.8,500025
Q010125,25,5380.5,500026
Q010125,26,5576.3,500036
Q010125,27,5810.1,500037
Q010125,28,6056.5,500038
Q010125,29,6203.4,500039
Q010125,30,6245.8,500040
Q010125,31,6387.3,500041
Q010125,32,6533.9,500042
Q010125,33,6661.7,500043
Q010125,34,6827.6,500044
Q010125,35,7055.2,500045
Q010125,36,7155.1,503753
B390025,1,0.0,303117
B390025,3,2881.2,403679
B390025,4,3021.4,404167
Q490080,1,0.0,550641
Q490080,2,290.8,550639
Q490080,3,463.6,550637
Q490080,4,625.9,550635
Q490080,5,773.9,550633
Q490080,6,998.7,553112
Q490080,7,1178.8,553067
Q490080,8,1335.5,552953
Q490080,9,1481.7,553068
Q490080,10,1669.1,553111
Q490080,11,1912.4,553069
Q490080,12,2077.6,553110
Q490080,13,2299.3,553070
Q490080,14,2489.3,553109
Q490080,15,2651.0,553114
Q490080,16,2805.1,550665
Q490080,17,2968.1,550663
Q490080,18,3124.1,550661
Q490080,19,3289.2,553064
Q490080,20,3444.2,553062
Q490080,21,3761.4,982009
Q490080,22,4025.6,552999
BX200014,1,0.0,803124
BX200014,2,282.2,402554
BX200014,3,411.8,402555
BX200014,4,629.1,402556
BX200014,5,765.5,404028
BX200014,6,1228.1,100449
BX200014,7,1350.2,100450
BX200014,8,1514.2,100451
BX200014,9,1883.7,100065
BX200014,10,2036.3,100066
BX200014,11,2226.4,102996
BX200014,12,2624.1,103915
BX200014,13,3236.6,100675
BX200014,14,3472.8,100676
BX200014,15,3713.6,100677
BX200014,16,4138.0,100678
BX200014,17,4382.8,100679
BX200014,18,4782.3,100680
BX200014,19,4953.2,100071
BX200014,20,5392.5,103261
S740277,1,0.0,202864
S740277,2,268.7,200176
S740277,3,762.4,200178
S740277,4,1048.0,203190
S740277,5,1299.8,200180
S740277,6,1570.8,200181
S740277,7,1712.3,201638
S740277,8,1792.8,200183
S740277,9,2177.6,201083
S740277,10,2525.5,202176
S740277,11,2752.4,202177
S740277,12,2993.2,202179
S740277,13,3121.7,202180
S740277,14,3255.1,202181
S740277,15,3417.0,202182
S740277,16,3572.6,202453
S740277,17,3769.3,202184
S740277,18,3997.6,202185
S740277,19,4238.8,201649
S740277,20,4461.5,202187
S740277,21,4625.2,201650
S740277,22,4859.3,201651
S740277,23,5076.1,203414
S740277,24,5337.9,201653
S740277,25,5491.9,201654
S740277,26,5712.7,201655
S740277,27,5886.8,201656
S740277,28,6054.0,203128
S740277,29,6246.9,201658
S740277,30,6477.1,201659
S740277,31,6634.1,203059
S740277,32,7109.4,201662
S740277,33,7302.3,201663
S740277,34,7576.7,201664
S740277,35,7878.1,201665
S740277,36,8081.1,203547
S740277,37,8349.4,202205
S740277,38,8588.5,202206
S740277,39,8705.3,202207
S740277,40,8907.1,202208
S740277,41,9188.2,202209
S740277,42,9353.9,202210
S740277,43,9478.6,202572
S740277,44,9797.4,201460
S740277,45,10039.0,200340
S740277,46,10436.7,200341
S740277,47,10599.7,200342
S740277,48,10928.9,200343
