"shape_id","segment_id","meters_accumulated"
"M14D0017","20",4339.46
"M14D0017","21",4685.63
"M14D0017","22",4875.41
"M14D0017","23",5191.29
"M14D0017","1",372.53
"M14D0017","3",927.0
"M14D0017","2",652.8
"M14D0017","5",1389.51
"M14D0017","4",1229.25
"M14D0017","7",1864.23
"M14D0017","6",1653.17
"M14D0017","9",2304.3
"M14D0017","8",2075.98
"M14D0017","11",2689.9300000000003
"M14D0017","10",2464.1000000000004
"M14D0017","13",3114.57
"M14D0017","12",2916.4700000000003
"M14D0017","15",3666.0800000000004
"M14D0017","14",3469.4500000000003
"M14D0017","17",4048.4800000000005
"M14D0017","16",3815.8700000000003
"M14D0017","19",4298.4800000000005
"M14D0017","18",4159.500000000001
"S610056","30",9886.930000000002
"S610056","28",9520.54
"S610056","29",9694.650000000001
"S610056","35",11146.920000000004
"S610056","34",10842.130000000003
"S610056","24",8584.66
"S610056","25",8821.52
"S610056","26",9016.300000000001
"S610056","27",9240.85
"S610056","20",7552.450000000001
"S610056","21",7780.080000000001
"S610056","48",14608.200000000006
"S610056","49",14838.070000000007
"S610056","46",14052.220000000007
"S610056","47",14264.960000000006
"S610056","44",13526.380000000006
"S610056","45",13827.550000000007
"S610056","42",12765.800000000007
"S610056","43",13081.180000000006
"S610056","40",12221.840000000006
"S610056","41",12416.600000000006
"S610056","1",818.33
"S610056","3",1719.05
"S610056","2",1138.27
"S610056","5",2651.49
"S610056","4",2260.21
"S610056","7",3310.72
"S610056","6",3006.14
"S610056","9",3961.62
"S610056","8",3721.7599999999998
"S610056","13",4982.87
"S610056","12",4824.29
"S610056","14",5614.33
"S610056","11",4414.79
"S610056","10",4183.37
"S610056","39",12052.970000000005
"S610056","38",11750.340000000006
"S610056","15",6288.25
"S610056","22",8077.420000000001
"S610056","17",6790.990000000001
"S610056","16",6585.39
"S610056","19",7395.52
"S610056","18",7113.76
"S610056","31",10169.760000000002
"S610056","23",8242.44
"S610056","51",15234.680000000008
"S610056","36",11416.120000000004
"S610056","53",15880.960000000008
"S610056","52",15514.350000000008
"S610056","33",10675.540000000003
"S610056","37",11547.650000000005
"S610056","32",10382.340000000002
"S610056","50",15018.690000000008
"S610057","30",9720.710000000005
"S610057","28",9354.320000000003
"S610057","29",9528.430000000004
"S610057","35",10980.700000000006
"S610057","34",10675.910000000005
"S610057","24",8418.440000000002
"S610057","25",8655.300000000003
"S610057","26",8850.080000000004
"S610057","27",9074.630000000003
"S610057","20",7386.230000000001
"S610057","21",7613.8600000000015
"S610057","48",14441.980000000009
"S610057","49",14671.85000000001
"S610057","46",13886.00000000001
"S610057","47",14098.740000000009
"S610057","44",13360.160000000009
"S610057","45",13661.330000000009
"S610057","42",12599.580000000009
"S610057","43",12914.960000000008
"S610057","40",12055.620000000008
"S610057","41",12250.380000000008
"S610057","1",652.11
"S610057","3",1552.83
"S610057","2",972.05
"S610057","5",2485.2699999999995
"S610057","4",2093.99
"S610057","7",3144.4999999999995
"S610057","6",2839.9199999999996
"S610057","9",3795.3999999999996
"S610057","8",3555.5399999999995
"S610057","13",4816.65
"S610057","12",4658.07
"S610057","14",5448.11
"S610057","11",4248.57
"S610057","10",4017.1499999999996
"S610057","39",11886.750000000007
"S610057","38",11584.120000000008
"S610057","15",6122.03
"S610057","22",7911.200000000002
"S610057","17",6624.77
"S610057","16",6419.17
"S610057","19",7229.300000000001
"S610057","18",6947.540000000001
"S610057","31",10003.540000000005
"S610057","23",8076.220000000002
"S610057","51",15068.46000000001
"S610057","36",11249.900000000007
"S610057","53",15714.74000000001
"S610057","52",15348.13000000001
"S610057","33",10509.320000000005
"S610057","37",11381.430000000008
"S610057","32",10216.120000000004
"S610057","50",14852.47000000001
"X170392","30",12391.56
"X170392","28",11738.939999999999
"X170392","29",12119.939999999999
"X170392","60",45923.35999999999
"X170392","61",46491.909999999996
"X170392","62",47014.67
"X170392","63",47266.71
"X170392","64",47747.44
"X170392","35",14028.22
"X170392","34",13742.99
"X170392","24",10521.949999999999
"X170392","25",10913.23
"X170392","26",11267.88
"X170392","27",11572.46
"X170392","20",6923.249999999999
"X170392","21",7598.5599999999995
"X170392","48",37728.41
"X170392","49",39760.520000000004
"X170392","46",34303.98
"X170392","23",9482.64
"X170392","44",30695.2
"X170392","45",31081.760000000002
"X170392","42",29125.59
"X170392","43",30336.760000000002
"X170392","40",27246.25
"X170392","41",28402.38
"X170392","1",158.05
"X170392","3",778.1700000000001
"X170392","2",412.93
"X170392","5",1126.21
"X170392","4",1052.1000000000001
"X170392","7",2178.49
"X170392","6",1884.85
"X170392","9",2857.08
"X170392","8",2566.96
"X170392","18",6040.19
"X170392","13",4278.04
"X170392","12",3924.9900000000002
"X170392","17",5505.94
"X170392","15",4693.58
"X170392","32",13020.53
"X170392","58",44485.689999999995
"X170392","11",3534.69
"X170392","10",3295.04
"X170392","39",15262.539999999999
"X170392","38",15002.32
"X170392","59",45453.85999999999
"X170392","22",8891.539999999999
"X170392","14",4437.69
"X170392","16",4898.82
"X170392","19",6500.679999999999
"X170392","54",42798.049999999996
"X170392","31",12665.1
"X170392","56",44152.88999999999
"X170392","51",40403.04
"X170392","36",14367.72
"X170392","53",40855.99
"X170392","52",40650.53
"X170392","33",13249.27
"X170392","55",43359.329999999994
"X170392","37",14722.23
"X170392","47",36353.240000000005
"X170392","57",44438.149999999994
"X170392","50",40011.48
"X170391","24",13533.219999999998
"X170391","25",14242.689999999997
"X170391","26",15210.639999999998
"X170391","27",15509.859999999997
"X170391","20",12159.199999999999
"X170391","21",12585.449999999999
"X170391","22",12988.249999999998
"X170391","23",13223.829999999998
"X170391","28",15767.789999999997
"X170391","29",16288.799999999997
"X170391","4",1230.9299999999998
"X170391","8",3074.02
"X170391","59",28680.360000000004
"X170391","58",28408.740000000005
"X170391","55",27556.680000000004
"X170391","54",27202.030000000002
"X170391","57",28027.740000000005
"X170391","56",27861.260000000006
"X170391","51",25180.340000000004
"X170391","50",23887.360000000004
"X170391","53",26810.750000000004
"X170391","52",25771.440000000002
"X170391","88",62196.74999999999
"X170391","89",62765.299999999996
"X170391","82",59071.439999999995
"X170391","83",59632.719999999994
"X170391","80",56923.92
"X170391","81",57129.38
"X170391","86",60759.079999999994
"X170391","87",61727.24999999999
"X170391","84",60426.27999999999
"X170391","85",60711.53999999999
"X170391","3",1036.62
"X170391","7",2642.62
"X170391","39",19583.84
"X170391","38",19145.88
"X170391","33",17340.9
"X170391","32",17066.97
"X170391","31",16701.73
"X170391","30",16446.85
"X170391","37",18855.760000000002
"X170391","36",18467.29
"X170391","35",18173.65
"X170391","34",17415.010000000002
"X170391","60",28953.900000000005
"X170391","61",29309.330000000005
"X170391","62",29538.070000000007
"X170391","63",30031.790000000008
"X170391","64",30317.020000000008
"X170391","65",30656.520000000008
"X170391","66",31011.030000000006
"X170391","67",31291.120000000006
"X170391","68",31551.340000000007
"X170391","69",43535.05
"X170391","2",802.0699999999999
"X170391","6",2145.97
"X170391","91",63540.1
"X170391","90",63288.06
"X170391","92",64020.83
"X170391","11",4519.37
"X170391","10",4075.91
"X170391","13",6049.84
"X170391","12",5726.85
"X170391","15",9726.47
"X170391","14",8347.81
"X170391","17",10811.89
"X170391","16",10126.56
"X170391","19",11860.47
"X170391","18",11446.66
"X170391","48",22789.480000000003
"X170391","49",23212.050000000003
"X170391","46",21794.74
"X170391","47",22328.99
"X170391","44",20982.38
"X170391","45",21187.620000000003
"X170391","42",20566.84
"X170391","43",20726.49
"X170391","40",19823.49
"X170391","41",20213.79
"X170391","1",450.53
"X170391","5",1614.09
"X170391","9",3409.79
"X170391","77",56033.91
"X170391","76",54001.8
"X170391","75",52626.630000000005
"X170391","74",50577.37
"X170391","73",47355.15
"X170391","72",46968.590000000004
"X170391","71",46610.15
"X170391","70",45398.98
"X170391","79",56676.43
"X170391","78",56284.87
"X170390","30",12391.56
"X170390","28",11738.939999999999
"X170390","29",12119.939999999999
"X170390","60",46476.49999999999
"X170390","61",46999.259999999995
"X170390","62",47251.299999999996
"X170390","63",47732.03
"X170390","35",14028.22
"X170390","34",13742.99
"X170390","23",9482.64
"X170390","24",10521.949999999999
"X170390","25",10913.23
"X170390","26",11267.88
"X170390","27",11572.46
"X170390","20",6923.249999999999
"X170390","21",7598.5599999999995
"X170390","48",39745.11
"X170390","49",39996.07
"X170390","46",36337.83
"X170390","47",37713.0
"X170390","44",31066.35
"X170390","45",34288.57
"X170390","42",30321.35
"X170390","43",30679.789999999997
"X170390","40",27246.25
"X170390","41",29110.18
"X170390","1",158.05
"X170390","3",778.1700000000001
"X170390","2",412.93
"X170390","5",1126.21
"X170390","4",1052.1000000000001
"X170390","7",2178.49
"X170390","6",1884.85
"X170390","9",2857.08
"X170390","8",2566.96
"X170390","13",4278.04
"X170390","12",3924.9900000000002
"X170390","17",5505.94
"X170390","15",4693.58
"X170390","32",13020.53
"X170390","58",45438.44999999999
"X170390","11",3534.69
"X170390","10",3295.04
"X170390","39",15262.539999999999
"X170390","38",15002.32
"X170390","59",45907.94999999999
"X170390","22",8891.539999999999
"X170390","14",4437.69
"X170390","16",4898.82
"X170390","19",6500.679999999999
"X170390","54",43343.91999999999
"X170390","31",12665.1
"X170390","56",44422.73999999999
"X170390","51",40635.119999999995
"X170390","36",14367.72
"X170390","53",42782.63999999999
"X170390","52",40840.579999999994
"X170390","33",13249.27
"X170390","55",44137.47999999999
"X170390","37",14722.23
"X170390","18",6040.19
"X170390","57",44470.27999999999
"X170390","50",40387.63
"B460124","11",2507.5000000000005
"B460124","10",2338.3700000000003
"B460124","13",3090.4200000000005
"B460124","12",2840.5800000000004
"B460124","15",3428.4100000000003
"B460124","14",3255.8300000000004
"B460124","17",3932.9500000000003
"B460124","16",3706.88
"B460124","1",85.2
"B460124","3",726.58
"B460124","2",512.9300000000001
"B460124","5",1296.0700000000002
"B460124","4",985.5600000000001
"B460124","7",1710.1800000000003
"B460124","6",1506.2400000000002
"B460124","9",2110.5600000000004
"B460124","8",1923.6900000000003
"B460126","11",3760.6
"B460126","10",2775.0299999999997
"B460126","13",5615.620000000001
"B460126","12",4885.6
"B460126","15",6708.000000000001
"B460126","14",6203.450000000001
"B460126","17",7926.360000000001
"B460126","16",6981.750000000001
"B460126","19",9035.04
"B460126","18",8537.2
"B460126","1",285.2
"B460126","3",918.53
"B460126","2",678.48
"B460126","5",1493.0299999999997
"B460126","4",1226.9299999999998
"B460126","7",1941.2599999999998
"B460126","6",1743.5099999999998
"B460126","9",2517.3099999999995
"B460126","20",9563.12
"B460126","8",2254.2699999999995
"B460127","11",5481.070000000001
"B460127","10",4976.52
"B460127","13",6699.43
"B460127","12",5754.820000000001
"B460127","15",7808.110000000001
"B460127","14",7310.27
"B460127","16",8336.19
"B460127","1",266.1
"B460127","3",714.33
"B460127","2",516.58
"B460127","5",1290.38
"B460127","4",1027.3400000000001
"B460127","7",2533.67
"B460127","6",1548.1000000000001
"B460127","9",4388.6900000000005
"B460127","8",3658.67
"B460121","24",5754.8
"B460121","25",6046.21
"B460121","26",6246.66
"B460121","27",6514.93
"B460121","20",4803.93
"B460121","21",4976.51
"B460121","22",5254.9800000000005
"B460121","23",5481.05
"B460121","28",6699.41
"B460121","29",6980.69
