datetime,BusCount
2014-08-01,4572
2014-08-02,3606
2014-08-03,2851
2014-08-04,4566
2014-08-05,4613
2014-08-06,4609
2014-08-07,4624
2014-08-08,4645
2014-08-09,3575
2014-08-10,2833
2014-08-11,4555
2014-08-12,4599
2014-08-13,4604
2014-08-14,4623
2014-08-15,4611
2014-08-16,3568
2014-08-17,2861
2014-08-18,4595
2014-08-19,4626
2014-08-20,4625
2014-08-21,4616
2014-08-22,4632
2014-08-23,3623
2014-08-24,2852
2014-08-25,4573
2014-08-26,4662
2014-08-27,4654
2014-08-28,4665
2014-08-29,4692
2014-08-30,3498
2014-08-31,2835
2014-09-01,2738
2014-09-02,4708
2014-09-03,4721
2014-09-04,4817
2014-09-05,4813
2014-09-06,3654
2014-09-07,2866
2014-09-08,4798
2014-09-09,4864
2014-09-10,4859
2014-09-11,4857
2014-09-12,4876
2014-09-13,3800
2014-09-14,2958
2014-09-15,4847
2014-09-16,4878
2014-09-17,4861
2014-09-18,4898
2014-09-19,4906
2014-09-20,3792
2014-09-21,2922
2014-09-22,4836
2014-09-23,4897
2014-09-24,4907
2014-09-25,4889
2014-09-26,4866
2014-09-27,3732
2014-09-28,2884
2014-09-29,4894
2014-09-30,4911
2014-10-01,4929
2014-10-02,4929
2014-10-03,4929
2014-10-04,3785
2014-10-05,2945
2014-10-06,4916
2014-10-07,4955
2014-10-08,4969
2014-10-09,4948
2014-10-10,4953
2014-10-11,3759
2014-10-12,2922
2014-10-13,4617
2014-10-14,4925
2014-10-15,4934
2014-10-16,4935
2014-10-17,4944
2014-10-18,3784
2014-10-19,2937
2014-10-20,4902
2014-10-21,4940
2014-10-22,4914
2014-10-23,4922
2014-10-24,4937
2014-10-25,3804
2014-10-26,2953
2014-10-27,4872
2014-10-28,4913
2014-10-29,4930
2014-10-30,4916
2014-10-31,4928
